clip,policy,frames,fps,n_bins,n_bins_eligible,bin_eligible_frac,bin_score_mean,infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m
DFaust_67_50007_50007_running_on_spot_poses_60_jpos,assumed_eligible,451,50.0,10,10,1.0,1.0,0.0,,,,,assumed,
DFaust_67_50022_50022_shake_hips_poses_60_jpos,assumed_eligible,224,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
DFaust_67_50025_50025_light_hopping_loose_poses_60_jpos,assumed_eligible,183,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
DFaust_67_50025_50025_one_leg_jump_poses_60_jpos,assumed_eligible,272,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
DFaust_67_50027_50027_one_leg_jump_poses_60_jpos,assumed_eligible,215,50.0,5,5,1.0,1.0,0.004651162790697674,,,,,assumed,
DanceDB_20180501_CliodelaVara_CLIO_Rasopoulos_poses_120_jpos,assumed_eligible,8370,50.0,168,168,1.0,1.0,0.007526881720430108,,,,,assumed,
Eyes_Japan_Dataset_hamada_gesture_etc-02-set_2-hamada_poses_120_jpos,assumed_eligible,1489,50.0,30,30,1.0,1.0,0.0,,,,,assumed,
Eyes_Japan_Dataset_hamada_gesture_etc-14-apologize-hamada_poses_120_jpos,assumed_eligible,1488,50.0,30,30,1.0,1.0,0.0006720430107526882,,,,,assumed,
Eyes_Japan_Dataset_hamada_jump-07-rope_double-hamada_poses_120_jpos,screened,1500,50.0,30,17,0.5666666666666667,0.6766666666666666,0.18,0.18,0.18,0.6766666666666666,29,torque_limited,0.06
Eyes_Japan_Dataset_hamada_jump-12-boxer_step-hamada_poses_120_jpos,assumed_eligible,1500,50.0,30,30,1.0,1.0,0.064,,,,,assumed,
Eyes_Japan_Dataset_hamada_sitdown_standup-05-straight-hamada_poses_120_jpos,screened,1500,50.0,30,22,0.7333333333333333,0.8686666666666667,0.11,0.11,0.11,0.8686666666666667,7,torque_limited,0.06
Eyes_Japan_Dataset_kaiwa_accident-05-damage_right_arm-kaiwa_poses_120_jpos,assumed_eligible,1500,50.0,30,30,1.0,1.0,0.0,,,,,assumed,
Eyes_Japan_Dataset_kaiwa_gesture_etc-48-medium_drum-kaiwa_poses_120_jpos,assumed_eligible,1500,50.0,30,30,1.0,1.0,0.0,,,,,assumed,
Eyes_Japan_Dataset_kaiwa_walk-29-look_down-kaiwa_poses_120_jpos,assumed_eligible,1480,50.0,30,30,1.0,1.0,0.006081081081081081,,,,,assumed,
Eyes_Japan_Dataset_kawaguchi_accident-02-dodge_fast-kawaguchi_poses_120_jpos,assumed_eligible,1286,50.0,26,26,1.0,1.0,0.028771384136858476,,,,,assumed,
Eyes_Japan_Dataset_kawaguchi_gesture_etc-39-giant_baba-kawaguchi_poses_120_jpos,screened,1060,50.0,22,11,0.5,0.7127272727272728,0.12830188679245283,0.12830188679245283,0.12830188679245283,0.7018867924528301,17,torque_limited,0.06
Eyes_Japan_Dataset_kawaguchi_turn-05-turn-kawaguchi_poses_120_jpos,screened,1225,50.0,25,6,0.24,0.35359999999999997,0.23755102040816325,0.23755102040816325,0.23755102040816325,0.3404081632653061,39,torque_limited,0.06
Eyes_Japan_Dataset_kudo_greeting-09-certificate-kudo_poses_250_jpos,assumed_eligible,1650,50.0,33,33,1.0,1.0,0.0,,,,,assumed,
Eyes_Japan_Dataset_kudo_jump-04-horizontal-kudo_poses_250_jpos,screened,1650,50.0,33,12,0.36363636363636365,0.41030303030303034,0.13515151515151516,0.13515151515151516,0.13515151515151516,0.4103030303030303,55,torque_limited,0.06
Eyes_Japan_Dataset_takiguchi_accident-11-fall_down-takiguchi_poses_120_jpos,screened,1526,50.0,31,18,0.5806451612903226,0.6987096774193547,0.24508519003931847,0.24508519003931847,0.24508519003931847,0.6939711664482306,17,torque_limited,0.06
Eyes_Japan_Dataset_takiguchi_walk-07-moonwalk-takiguchi_poses_250_jpos,assumed_eligible,1650,50.0,33,33,1.0,1.0,0.04303030303030303,,,,,assumed,
GRAB_s10_lightbulb_pass_1,assumed_eligible,288,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
GRAB_s2_stanfordbunny_pick_all,assumed_eligible,1261,50.0,26,26,1.0,1.0,0.0,,,,,assumed,
GRAB_s3_mug_drink_2,assumed_eligible,343,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
GRAB_s3_mug_drink_3,assumed_eligible,381,50.0,8,8,1.0,1.0,0.0,,,,,assumed,
GRAB_s4_banana_pass_1,assumed_eligible,375,50.0,8,8,1.0,1.0,0.0,,,,,assumed,
GRAB_s5_cylinderlarge_inspect_1,assumed_eligible,458,50.0,10,10,1.0,1.0,0.0,,,,,assumed,
GRAB_s6_alarmclock_see_1,assumed_eligible,313,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
GRAB_s6_hammer_use_2,assumed_eligible,422,50.0,9,9,1.0,1.0,0.0,,,,,assumed,
GRAB_s8_fryingpan_cook_2,assumed_eligible,398,50.0,8,8,1.0,1.0,0.0,,,,,assumed,
KIT_1226_Trial_45_poses_100_jpos,assumed_eligible,299,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
KIT_167_turn_right05_poses_100_jpos,assumed_eligible,314,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
KIT_1747_displace_tilt_side_13_poses_100_jpos,assumed_eligible,465,50.0,10,10,1.0,1.0,0.0,,,,,assumed,
KIT_359_walking_medium03_poses_100_jpos,assumed_eligible,263,50.0,6,6,1.0,1.0,0.026615969581749048,,,,,assumed,
KIT_3_golf_drive02_poses_100_jpos,assumed_eligible,276,50.0,6,6,1.0,1.0,0.014492753623188406,,,,,assumed,
KIT_3_stomp_right02_poses_100_jpos,assumed_eligible,258,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
KIT_3_walk_with_support04_poses_100_jpos,assumed_eligible,337,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
KIT_3_wave_left05_poses_100_jpos,assumed_eligible,193,50.0,4,4,1.0,1.0,0.0,,,,,assumed,
KIT_551_mixing_bowl_big03_poses_100_jpos,assumed_eligible,345,50.0,7,7,1.0,1.0,0.0,,,,,assumed,
KIT_572_violin_left08_poses_100_jpos,assumed_eligible,376,50.0,8,8,1.0,1.0,0.0,,,,,assumed,
KIT_572_wave_left10_poses_100_jpos,assumed_eligible,286,50.0,6,6,1.0,1.0,0.0,,,,,assumed,
KIT_674_dry_front02_poses_100_jpos,assumed_eligible,656,50.0,14,14,1.0,1.0,0.0,,,,,assumed,
KIT_883_wipe_leg_bigcircle01_poses_100_jpos,assumed_eligible,426,50.0,9,9,1.0,1.0,0.0,,,,,assumed,
KIT_950_Wipe_Head_Horizontal_01_poses_100_jpos,assumed_eligible,524,50.0,11,11,1.0,1.0,0.0,,,,,assumed,
KIT_9_LeftTurn06_poses_100_jpos,assumed_eligible,241,50.0,5,5,1.0,1.0,0.0,,,,,assumed,
Transitions_mocap_mazen_c3d_twistdance_walk_poses_120_jpos,screened,410,50.0,9,5,0.5555555555555556,0.7155555555555555,0.1024390243902439,0.1024390243902439,0.1024390243902439,0.6878048780487804,9,torque_limited,0.06
