clip,knn_dist,support_density,category,category_mass,duration_s
KIT_3_balancing01_poses_100_jpos,0.8606,0.04599,quiet,0.4474,11.18
BMLmovi_Subject_71_F_MoSh_Subject_71_F_13_poses_120_jpos,0.6726,0.02159,quiet,0.4474,3.58
Eyes_Japan_Dataset_aita_gesture_etc-22-mobile_receive-aita_poses_120_jpos,0.5601,0.06824,quiet,0.4474,30.00
GRAB_s8_cylindersmall_pick_all,0.4725,0.10106,quiet,0.4474,15.84
HumanEva_S3_Gestures_3_poses_120_jpos,1.5116,0.00251,quiet,0.4474,14.92
KIT_291_walk_like_an_egyptian01_poses_100_jpos,1.2891,0.00407,quiet,0.4474,3.44
GRAB_s8_wineglass_pick_all,0.6762,0.07082,quiet,0.4474,18.96
GRAB_s4_stanfordbunny_pick_all,0.3845,0.10739,quiet,0.4474,20.80
CMU_79_79_39_poses_60_jpos,0.8395,0.02147,quiet,0.4474,13.46
KIT_952_wipe_back_smallcircle02_poses_100_jpos,0.7916,0.00903,quiet,0.4474,10.56
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,0.6846,0.03946,quiet,0.4474,6.00
KIT_955_wipe_arm_bigcircles01_poses_100_jpos,0.6300,0.01011,quiet,0.4474,13.02
BMLmovi_Subject_88_F_MoSh_Subject_88_F_17_poses_120_jpos,0.9422,0.02272,quiet,0.4474,3.48
CMU_80_80_40_poses_60_jpos,0.6908,0.06897,quiet,0.4474,15.24
Eyes_Japan_Dataset_kudo_gesture_etc-18-eat-kudo_poses_120_jpos,0.3842,0.10542,quiet,0.4474,33.00
BMLmovi_Subject_18_F_MoSh_Subject_18_F_17_poses_120_jpos,0.9311,0.02120,quiet,0.4474,3.48
KIT_572_golf_putting05_poses_100_jpos,0.5418,0.10110,quiet,0.4474,5.84
Eyes_Japan_Dataset_aita_pose-14-look_up-aita_poses_120_jpos,0.4834,0.09461,quiet,0.4474,30.00
Eyes_Japan_Dataset_shiono_gesture_etc-33-watch_here-shiono_poses_120_jpos,0.6456,0.06017,quiet,0.4474,30.00
BMLmovi_Subject_20_F_MoSh_Subject_20_F_7_poses_120_jpos,0.9839,0.01848,quiet,0.4474,2.90
GRAB_s4_spherelarge_pick_all,0.4308,0.10182,quiet,0.4474,15.36
BMLmovi_Subject_5_F_MoSh_Subject_5_F_10_poses_120_jpos,0.8052,0.06082,quiet,0.4474,2.98
GRAB_s8_stanfordbunny_pick_all,0.4608,0.09049,quiet,0.4474,16.76
Eyes_Japan_Dataset_shiono_throw_toss-13-pass_to_right_light-shiono_poses_120_jpos,0.6640,0.03171,quiet,0.4474,28.34
Eyes_Japan_Dataset_kaiwa_gesture_etc-01-set_1-kaiwa_poses_120_jpos,0.4909,0.10985,quiet,0.4474,30.00
BMLmovi_Subject_72_F_MoSh_Subject_72_F_17_poses_120_jpos,0.9745,0.00990,quiet,0.4474,3.44
CMU_80_80_16_poses_60_jpos,0.7225,0.03395,quiet,0.4474,20.98
CMU_80_80_06_poses_60_jpos,0.6084,0.05105,quiet,0.4474,16.02
GRAB_s9_wineglass_drink_1,0.5110,0.09355,locomotion,0.5266,7.90
GRAB_s4_wineglass_toast_1,0.7590,0.03787,quiet,0.4474,5.16
GRAB_s8_bowl_drink_2,0.4923,0.08094,locomotion,0.5266,8.34
GRAB_s9_cylinderlarge_pick_all,0.5746,0.09123,quiet,0.4474,14.10
BMLmovi_Subject_51_F_MoSh_Subject_51_F_9_poses_120_jpos,1.9109,0.00013,quiet,0.4474,3.94
CMU_79_79_96_poses_60_jpos,0.7425,0.06806,quiet,0.4474,9.30
KIT_3_wave_right04_poses_100_jpos,0.6521,0.08093,quiet,0.4474,4.42
HUMAN4D_Subject1_2_Aude_INF_TalkingWhispering_S1S2_01_poses_120_jpos,0.7657,0.07727,quiet,0.4474,52.56
GRAB_s8_camera_offhand_1,0.4643,0.09450,locomotion,0.5266,9.90
GRAB_s8_gamecontroller_pass_1,0.6528,0.05605,quiet,0.4474,7.66
GRAB_s8_wineglass_drink_1,0.5422,0.09649,quiet,0.4474,8.56
Eyes_Japan_Dataset_aita_greeting-02-bye-aita_poses_120_jpos,0.6546,0.06199,quiet,0.4474,30.00
KIT_9_walking_slow10_poses_100_jpos,0.6462,0.06343,locomotion,0.5266,7.40
CMU_62_62_14_poses_60_jpos,0.5956,0.09621,quiet,0.4474,11.22
CMU_13_13_08_poses_120_jpos,1.0145,0.03642,quiet,0.4474,13.36
GRAB_s2_hand_pick_all,0.5288,0.09336,quiet,0.4474,22.18
BMLmovi_Subject_18_F_MoSh_Subject_18_F_3_poses_120_jpos,0.7324,0.04896,quiet,0.4474,3.14
GRAB_s9_torussmall_inspect_1,0.7161,0.06750,locomotion,0.5266,5.00
GRAB_s1_cubemedium_pick_all,0.5327,0.09740,quiet,0.4474,23.54
GRAB_s1_cup_pick_all,0.5335,0.08144,quiet,0.4474,31.12
GRAB_s8_cubelarge_pick_all,0.5901,0.06498,quiet,0.4474,20.50
Eyes_Japan_Dataset_kudo_gesture_etc-45-feel_dizzy_-kudo_poses_250_jpos,0.6942,0.06855,quiet,0.4474,33.00
GRAB_s10_phone_pick_all,0.5134,0.09851,quiet,0.4474,18.24
GRAB_s1_cubesmall_pick_all,0.5909,0.07736,quiet,0.4474,26.62
KIT_513_Push_Behind_Soft02_poses_100_jpos,0.6149,0.05898,quiet,0.4474,5.80
GRAB_s8_hammer_use_1,0.5509,0.09918,locomotion,0.5266,10.56
BMLmovi_Subject_32_F_MoSh_Subject_32_F_9_poses_120_jpos,2.2731,0.00004,quiet,0.4474,3.54
CMU_40_40_12_poses_120_jpos,0.9173,0.02314,quiet,0.4474,70.30
CMU_79_79_84_poses_60_jpos,0.9190,0.02092,quiet,0.4474,14.60
KIT_675_double_pour_and_mixing12_poses_100_jpos,0.5994,0.05248,locomotion,0.5266,19.04
GRAB_s1_stanfordbunny_pick_all,0.5818,0.07634,quiet,0.4474,31.30
Eyes_Japan_Dataset_kaiwa_gesture_etc-31-ok-kaiwa_poses_120_jpos,0.5289,0.09522,quiet,0.4474,30.00
BMLmovi_Subject_22_F_MoSh_Subject_22_F_2_poses_120_jpos,1.1695,0.00774,quiet,0.4474,3.00
KIT_1297_wipe02_poses_100_jpos,0.5744,0.08762,locomotion,0.5266,15.34
GRAB_s2_toruslarge_pick_all,0.5430,0.09858,quiet,0.4474,17.80
GRAB_s10_flashlight_on_2,0.5196,0.08377,quiet,0.4474,9.00
KIT_675_double_pour_and_mixing05_poses_100_jpos,0.6739,0.04990,locomotion,0.5266,26.20
GRAB_s8_pyramidmedium_pass_1,0.6818,0.06044,quiet,0.4474,8.30
KIT_348_walking_slow08_poses_100_jpos,0.7735,0.02774,locomotion,0.5266,5.88
Eyes_Japan_Dataset_kaiwa_pose-18-applause-kaiwa_poses_120_jpos,0.6863,0.07248,quiet,0.4474,30.00
HUMAN4D_Subject3_4_Carine_RGB_TalkingWhispering_S3S4_01_poses_120_jpos,0.8464,0.04189,quiet,0.4474,51.42
KIT_513_Push_Right_Soft03_poses_100_jpos,0.6879,0.04265,quiet,0.4474,6.76
GRAB_s9_piggybank_use_1,0.7507,0.04591,locomotion,0.5266,9.10
TCD_handMocap_ExperimentDatabase_Talking01A_poses_120_jpos,2.3390,0.00007,quiet,0.4474,5.20
GRAB_s1_cubesmall_pass_1,0.3977,0.09867,locomotion,0.5266,9.50
CMU_77_77_02_poses_60_jpos,0.9502,0.03006,quiet,0.4474,15.60
GRAB_s2_cubelarge_inspect_1,0.5308,0.08266,locomotion,0.5266,14.60
KIT_572_squat05_poses_100_jpos,1.6277,0.00325,quiet,0.4474,4.94
GRAB_s8_stanfordbunny_inspect_1,0.5306,0.07702,quiet,0.4474,8.64
KIT_1721_RecoveryStepping_50_135_04_poses_100_jpos,0.9160,0.01944,locomotion,0.5266,4.72
CMU_143_143_27_poses_60_jpos,0.9645,0.02330,quiet,0.4474,11.72
KIT_912_912_3_04_poses_100_jpos,0.7264,0.05630,locomotion,0.5266,12.22
CMU_79_79_54_poses_60_jpos,1.0866,0.01501,quiet,0.4474,19.44
HUMAN4D_Subject3_Medhi_INF_InflightSafety_S3_01_poses_120_jpos,1.6994,0.00372,quiet,0.4474,48.26
KIT_3_bend_left05_poses_100_jpos,0.7080,0.03831,locomotion,0.5266,6.58
GRAB_s1_torusmedium_offhand_1,0.3258,0.10102,locomotion,0.5266,9.60
GRAB_s1_stamp_offhand_1,0.5180,0.09901,quiet,0.4474,11.44
KIT_183_walking_slow02_poses_100_jpos,1.2220,0.00694,locomotion,0.5266,7.34
KIT_424_walking_slow10_poses_100_jpos,0.9468,0.03081,locomotion,0.5266,8.82
HUMAN4D_Subject2_Aude_INF_InflightSafety_S2_01_poses_120_jpos,1.3718,0.00952,quiet,0.4474,56.10
KIT_441_PizzaDelivery03_poses_100_jpos,0.5988,0.08125,quiet,0.4474,23.74
KIT_205_walking_slow02_poses_100_jpos,0.7015,0.04063,locomotion,0.5266,6.46
KIT_674_wash_head02_poses_100_jpos,0.7835,0.05233,locomotion,0.5266,56.76
KIT_9_WalkingStraightBackwards04_poses_100_jpos,0.9429,0.01129,locomotion,0.5266,4.84
GRAB_s1_eyeglasses_pass_1,0.4410,0.10145,quiet,0.4474,8.78
GRAB_s4_phone_call_1,0.5516,0.09706,quiet,0.4474,10.64
GRAB_s8_cubelarge_inspect_1,0.5668,0.07695,quiet,0.4474,8.54
KIT_551_sponge_big_and_mixing_bowl_big05_poses_100_jpos,0.6170,0.04842,locomotion,0.5266,7.94
GRAB_s10_pyramidmedium_pick_all,0.5145,0.07710,locomotion,0.5266,8.64
GRAB_s4_banana_pass_1,0.7302,0.02863,locomotion,0.5266,7.50
HUMAN4D_Subject4_Carine_INF_InflightSafety_S4_02_poses_120_jpos,1.1572,0.01674,quiet,0.4474,55.94
CMU_79_79_59_poses_60_jpos,1.1816,0.02159,quiet,0.4474,14.16
Eyes_Japan_Dataset_kaiwa_greeting-07-bow-kaiwa_poses_120_jpos,0.6428,0.06360,quiet,0.4474,30.00
GRAB_s1_cylinderlarge_offhand_1,0.3135,0.09660,locomotion,0.5266,10.48
GRAB_s5_duck_pick_all,0.8881,0.04566,quiet,0.4474,21.14
KIT_9_walking_slow01_poses_100_jpos,0.6415,0.03222,locomotion,0.5266,6.24
GRAB_s10_pyramidlarge_pass_1,0.6580,0.06398,quiet,0.4474,6.60
GRAB_s2_pyramidmedium_pass_1,0.5652,0.08185,locomotion,0.5266,9.40
GRAB_s7_gamecontroller_pick_all,0.9180,0.04893,locomotion,0.5266,20.46
GRAB_s6_apple_pick_all,0.5371,0.06417,locomotion,0.5266,19.56
GRAB_s2_hand_inspect_1,0.5016,0.09012,locomotion,0.5266,9.68
BMLmovi_Subject_20_F_MoSh_Subject_20_F_17_poses_120_jpos,0.9933,0.03115,quiet,0.4474,1.94
GRAB_s1_pyramidsmall_inspect_1,0.3945,0.09661,quiet,0.4474,8.46
GRAB_s8_stanfordbunny_pass_1,0.5985,0.06461,locomotion,0.5266,7.76
KIT_6_LeftTurn03_1_poses_100_jpos,0.6321,0.03228,locomotion,0.5266,5.46
KIT_675_double_pour_and_mixing04_poses_100_jpos,0.6302,0.06760,locomotion,0.5266,22.62
KIT_572_punch_left05_poses_100_jpos,0.5735,0.08390,quiet,0.4474,6.46
GRAB_s1_pyramidlarge_offhand_1,0.3460,0.09658,locomotion,0.5266,10.68
KIT_8_WalkingStraightBackwards03_poses_100_jpos,0.5315,0.04114,locomotion,0.5266,5.76
GRAB_s1_watch_offhand_1,0.4303,0.09319,locomotion,0.5266,9.52
KIT_200_Kniebeuge06_poses_100_jpos,1.0796,0.00151,quiet,0.4474,4.40
GRAB_s4_cubemedium_inspect_1,0.6221,0.07222,quiet,0.4474,9.98
KIT_674_shower_left_arm10_poses_100_jpos,0.6511,0.04873,quiet,0.4474,12.16
GRAB_s10_piggybank_use_1,0.5868,0.09179,quiet,0.4474,11.16
KIT_3_push_from_the_left_side09_poses_100_jpos,0.6762,0.03145,locomotion,0.5266,4.88
GRAB_s1_cylindersmall_offhand_1,0.4666,0.08297,quiet,0.4474,8.32
KIT_675_dry_right_arm_014_poses_100_jpos,0.7474,0.07026,quiet,0.4474,20.10
GRAB_s9_pyramidmedium_inspect_1,0.7469,0.04955,locomotion,0.5266,5.12
GRAB_s1_eyeglasses_clean_1,0.6124,0.07053,quiet,0.4474,14.56
KIT_442_PizzaDelivery05_poses_100_jpos,1.1298,0.01229,locomotion,0.5266,30.00
KIT_572_stomp_right02_poses_100_jpos,1.0089,0.02600,quiet,0.4474,5.34
GRAB_s6_camera_pick_all,0.4650,0.05338,locomotion,0.5266,15.58
KIT_3_seesaw_backwards07_poses_100_jpos,0.8670,0.02561,locomotion,0.5266,13.48
KIT_200_Kniebeuge04_poses_100_jpos,1.0549,0.00174,quiet,0.4474,4.36
GRAB_s1_mug_drink_2,0.5171,0.09844,quiet,0.4474,12.56
KIT_3_squat05_poses_100_jpos,1.1740,0.00193,quiet,0.4474,5.50
GRAB_s9_alarmclock_see_1,0.6256,0.07079,locomotion,0.5266,6.76
GRAB_s2_flashlight_on_2,0.5930,0.07499,locomotion,0.5266,9.56
KIT_424_seesaw01_poses_100_jpos,0.7259,0.02246,locomotion,0.5266,8.74
KIT_424_seesaw_backwards03_poses_100_jpos,0.9641,0.01034,quiet,0.4474,8.76
KIT_3_go_over_beam01_poses_100_jpos,0.6777,0.02727,locomotion,0.5266,10.36
KIT_551_mixing_cooking_spoon03_poses_100_jpos,0.6127,0.05412,locomotion,0.5266,8.02
CMU_76_76_10_poses_120_jpos,0.9681,0.02654,quiet,0.4474,11.38
KIT_205_walking_slow07_poses_100_jpos,0.8889,0.01818,locomotion,0.5266,5.66
GRAB_s2_banana_eat_1,0.6306,0.06418,locomotion,0.5266,12.26
GRAB_s9_alarmclock_pass_1,0.6809,0.07379,locomotion,0.5266,5.34
GRAB_s6_spheremedium_pick_all,0.5149,0.04311,locomotion,0.5266,18.84
KIT_6_RightTurn10_1_poses_100_jpos,0.6274,0.03614,locomotion,0.5266,5.20
TCD_handMocap_ExperimentDatabase_Walking02_B_poses_150_jpos,1.6508,0.00142,quiet,0.4474,4.00
Eyes_Japan_Dataset_aita_pain-01-headache-aita_poses_120_jpos,0.5986,0.08757,quiet,0.4474,30.00
GRAB_s7_wineglass_drink_2,0.5601,0.03646,locomotion,0.5266,8.04
GRAB_s7_lightbulb_pass_1,1.2394,0.00509,locomotion,0.5266,4.26
KIT_4_WalkingStraightBackwards02_poses_100_jpos,0.6457,0.03342,locomotion,0.5266,5.50
CMU_54_54_23_poses_120_jpos,1.1868,0.01641,quiet,0.4474,35.82
GRAB_s1_hammer_use_3,0.5744,0.07869,locomotion,0.5266,15.00
KIT_424_seesaw09_poses_100_jpos,0.6884,0.03698,locomotion,0.5266,6.00
KIT_6_WalkingStraightBackwards08_poses_100_jpos,0.9802,0.01548,locomotion,0.5266,4.84
GRAB_s7_cubemedium_pick_all,0.6403,0.09576,quiet,0.4474,29.80
KIT_3_walking_slow07_poses_100_jpos,0.6300,0.05637,locomotion,0.5266,6.46
KIT_3_bend_left08_poses_100_jpos,0.6060,0.03479,locomotion,0.5266,7.00
Eyes_Japan_Dataset_kaiwa_greeting-05-salute_(chest)-kaiwa_poses_120_jpos,0.5356,0.08864,quiet,0.4474,30.00
CMU_79_79_89_poses_60_jpos,1.0298,0.01975,quiet,0.4474,14.74
GRAB_s5_cylinderlarge_inspect_1,0.5743,0.05950,locomotion,0.5266,9.16
