name,frames,duration_s,fps,com_speed_mean,com_speed_p95,com_height_range,com_height_std,angmom_mean,angmom_peak,joint_vel_p95,joint_vel_max,jerk_p95,flight_phase_frac,nonfoot_contact_frac,nonfoot_ground_frac,double_support_frac,foot_clearance_p1,foot_clearance_p50,foot_penetration_max,body_penetration_max,contact_switch_rate,support_margin_mean,support_margin_min,required_mu_p50,required_mu_p95,vert_force_bw_p95,vert_force_bw_max,cop_margin_mean,cop_margin_min
jumps1_subject1,12222,244.44,50.0,0.7297,1.5366,0.3353,0.0457,1.0585,7.4309,3.5041,19.0372,1697.22,0.1277,0.0,0.0,0.483,-0.0071,0.00408,0.01499,0.01499,4.0787,-0.1559,-0.5,0.1135,0.5117,1.977,2.9886,-0.1088,-0.8299
jumps1_subject2,12222,244.44,50.0,0.5455,1.4444,0.7148,0.209,1.0627,6.1913,2.6786,12.3728,1288.34,0.0837,0.0929,0.1907,0.3757,-0.01702,0.00259,0.03495,0.11909,3.101,-0.2129,-0.7644,0.1038,0.4559,1.6319,2.6745,-0.1571,-1.1258
jumps1_subject5,12222,244.44,50.0,0.5443,1.3079,0.2527,0.0383,0.9212,4.6002,3.15,12.6365,1595.01,0.0484,0.0,0.0,0.338,-0.00721,0.00493,0.01812,0.01812,2.336,-0.1165,-0.5,0.1129,0.8022,1.9339,2.8068,-0.129,-0.9572
run1_subject2,11890,237.8,50.0,1.2131,2.6041,0.2717,0.0345,1.2141,5.5528,4.2287,13.9256,2106.53,0.0673,0.0,0.0,0.2757,-0.01006,0.00374,0.02432,0.02432,4.7939,-0.1738,-0.5046,0.1457,0.5686,1.603,1.9712,-0.1453,-0.5858
run1_subject5,11890,237.8,50.0,1.5383,2.6886,0.277,0.0407,1.3698,4.9575,4.5311,13.4935,2282.12,0.0532,0.0,0.0,0.2406,-0.00758,0.00361,0.01739,0.01739,5.2902,-0.1991,-0.5048,0.2181,0.6727,1.571,1.8997,-0.1683,-1.6031
run2_subject1,12240,244.8,50.0,1.389,2.6611,0.2548,0.0386,1.4288,6.4429,4.4335,15.5952,2147.32,0.0797,0.0,0.0,0.296,-0.00859,0.00342,0.0208,0.0208,4.9142,-0.1862,-0.5,0.1714,0.7241,1.7888,2.2395,-0.1579,-1.3282
run2_subject4,12240,244.8,50.0,1.5173,2.9901,0.2728,0.0369,1.2452,6.1172,4.2888,16.923,2409.42,0.0598,0.0,0.0002,0.3087,-0.01361,0.00263,0.02504,0.02504,4.9837,-0.1771,-0.5023,0.1606,0.702,1.7092,3.5022,-0.128,-2.1663
sprint1_subject2,13655,273.1,50.0,0.9649,3.5339,0.2865,0.0318,0.9578,6.6253,3.685,16.5485,1915.91,0.0869,0.0,0.0,0.5616,-0.00925,0.0019,0.01641,0.01641,3.4639,-0.1282,-0.5367,0.0742,0.5642,1.5594,2.478,-0.0946,-0.7006
sprint1_subject4,13655,273.1,50.0,0.958,3.9986,0.2105,0.0373,0.918,6.7853,3.898,18.5831,2206.8,0.0904,0.0,0.0,0.6324,-0.00879,0.00064,0.01809,0.01809,2.9806,-0.1492,-0.5,0.0516,0.8074,1.4188,2.7964,-0.0858,-1.0269
walk1_subject1,13065,261.3,50.0,0.5033,1.2812,0.1517,0.0184,0.6815,2.4053,1.873,10.4243,623.61,0.0,0.0,0.0,0.8452,-0.00791,0.00405,0.01684,0.01684,2.8932,-0.0515,-0.3903,0.0489,0.1457,1.2666,1.4453,-0.048,-0.4085
walk1_subject2,13065,261.3,50.0,0.7712,1.3315,0.1191,0.0153,0.8995,3.4973,2.7899,13.2514,1143.21,0.0016,0.0,0.0,0.5829,-0.01146,0.00061,0.02328,0.02328,4.1829,-0.076,-0.3831,0.079,0.2936,1.2605,1.8265,-0.067,-0.3778
walk1_subject5,13065,261.3,50.0,0.779,1.263,0.1657,0.0224,1.2268,4.1902,2.9816,15.6606,1139.94,0.0,0.0,0.0,0.5104,-0.0085,0.00476,0.01775,0.01775,3.8883,-0.1111,-0.4252,0.129,0.3855,1.3123,1.6276,-0.0887,-0.3492
walk2_subject1,11909,238.18,50.0,0.5537,1.3946,0.3881,0.0512,0.907,4.0618,3.0972,17.5731,1439.92,0.0118,0.0,0.0,0.5607,-0.00863,0.0045,0.02066,0.02066,3.4722,-0.0993,-0.5,0.0794,0.2929,1.3716,1.9464,-0.0937,-0.4715
walk2_subject3,11909,238.18,50.0,0.4768,1.4115,0.4971,0.0927,0.7616,3.7997,2.2988,13.687,1051.22,0.0069,0.0028,0.0447,0.6388,-0.01736,0.00167,0.02071,0.16534,2.2756,-0.0769,-0.5,0.0644,0.2797,1.2272,1.9642,-0.0781,-0.5712
walk2_subject4,11909,238.18,50.0,0.4945,1.1126,0.3483,0.0354,0.7464,5.2529,2.3531,16.6238,1041.96,0.005,0.0,0.0,0.6168,-0.013,7e-05,0.02275,0.02275,2.7206,-0.0683,-0.5,0.0507,0.2182,1.2211,1.5951,-0.0634,-0.3774
walk3_subject1,12330,246.6,50.0,0.3057,0.6574,0.6169,0.1391,0.7485,3.365,2.3289,17.8322,1056.69,0.0052,0.0049,0.0696,0.7152,-0.01589,0.0044,0.03362,0.09389,2.6723,-0.0964,-0.5961,0.0609,0.2059,1.2272,1.4491,-0.0926,-0.5732
walk3_subject2,12330,246.6,50.0,0.629,1.6028,0.1271,0.0158,0.7398,3.4179,2.4684,11.2342,1084.51,0.0076,0.0,0.0,0.5842,-0.01112,-0.00021,0.01647,0.01647,3.2725,-0.0747,-0.5,0.0698,0.2013,1.3448,1.7775,-0.067,-0.4273
walk3_subject3,12330,246.6,50.0,0.229,0.4831,0.5224,0.1239,0.5115,2.405,1.5077,8.1142,605.15,0.257,0.0229,0.0444,0.5193,-0.01531,0.00769,0.02156,0.09742,1.6018,-0.1922,-0.5,0.0478,0.1566,1.162,1.3993,-0.0789,-0.3809
walk3_subject4,12330,246.6,50.0,0.5116,1.1003,0.683,0.1718,0.6108,3.582,2.2724,17.2457,950.02,0.0015,0.0013,0.101,0.7088,-0.01794,-0.00047,0.02113,0.15046,2.721,-0.1002,-0.6244,0.0532,0.1701,1.2449,1.7094,-0.0955,-0.6147
walk3_subject5,12330,246.6,50.0,0.6955,1.2502,0.2404,0.0285,1.1029,3.7272,2.4459,12.0083,975.8,0.0,0.0,0.0003,0.5288,-0.01119,0.00432,0.02101,0.02101,3.6496,-0.0901,-0.3912,0.1107,0.2662,1.2298,1.6487,-0.0959,-0.4204
walk4_subject1,8195,163.9,50.0,0.3161,0.6397,0.2416,0.0183,0.5277,2.112,1.879,14.7964,843.38,0.0,0.0,0.0,0.8046,-0.00351,0.00539,0.00736,0.00736,3.0628,-0.0364,-0.1981,0.0499,0.1492,1.1901,1.4418,-0.0522,-0.3604
