name,frames,duration_s,fps,com_speed_mean,com_speed_p95,com_height_range,com_height_std,angmom_mean,angmom_peak,joint_vel_p95,joint_vel_max,jerk_p95,flight_phase_frac,nonfoot_contact_frac,nonfoot_ground_frac,double_support_frac,foot_clearance_p1,foot_clearance_p50,foot_penetration_max,body_penetration_max,contact_switch_rate,support_margin_mean,support_margin_min,required_mu_p50,required_mu_p95,vert_force_bw_p95,vert_force_bw_max,cop_margin_mean,cop_margin_min
ACCAD_Female1General_c3d_A4_-_look_poses_120_jpos,1064,21.28,50.0,0.0107,0.0248,0.0091,0.0019,0.0577,0.6262,0.1939,7.2166,735.91,0.0,0.0,0.0,1.0,1e-05,0.00668,0.00028,0.00028,0.0,-0.0403,-0.0595,0.0242,0.0576,1.0357,1.0991,-0.0435,-0.1147
ACCAD_Female1General_c3d_A5_-_pick_up_box_poses_120_jpos,314,6.28,50.0,0.0457,0.142,0.3825,0.13,0.4259,1.9315,1.4583,10.4789,1332.82,0.4076,0.0,0.0,0.5892,0.0,0.00613,0.0005,0.0005,0.4777,-0.236,-0.5,0.0308,0.1326,1.2034,1.2919,-0.0596,-0.1758
ACCAD_Female1General_c3d_A6-_lift_box_t2_poses_120_jpos,354,7.08,50.0,0.0323,0.097,0.0816,0.0286,0.1365,0.9663,1.0433,36.2646,1028.27,0.1977,0.0,0.0,0.7712,0.0,0.00628,0.00361,0.00361,0.565,-0.1433,-0.5,0.0307,0.0857,1.0423,1.117,-0.0642,-0.3195
ACCAD_Female1General_c3d_A6_-_lift_box_poses_120_jpos,419,8.38,50.0,0.0337,0.0859,0.4507,0.1691,0.2902,1.2677,1.6465,5.9074,1280.35,0.7399,0.0,0.0,0.2554,-0.0,0.03419,0.00014,0.00014,0.2387,-0.3824,-0.5,0.0302,0.1006,1.0981,1.2014,-0.0558,-0.1354
ACCAD_Female1General_c3d_A7_-_crouch_poses_120_jpos,253,5.06,50.0,0.0283,0.1015,0.393,0.1816,0.2513,1.2867,1.0977,9.1387,1354.31,0.5929,0.0,0.0,0.3953,0.0,0.04067,4e-05,4e-05,0.3953,-0.3142,-0.5,0.0247,0.0994,1.1402,1.2617,-0.0481,-0.1608
ACCAD_Female1General_c3d_A8_-_crouch_to_lie_poses_120_jpos,322,6.44,50.0,0.0579,0.2276,0.3675,0.1302,0.5633,3.9893,1.2805,10.4891,2157.99,0.382,0.1211,0.618,0.4193,0.0,0.02138,0.00077,0.18715,0.9317,-0.5852,-0.6815,0.0329,0.2733,1.1238,1.5068,-0.6648,-0.6892
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,394,7.88,50.0,0.017,0.0698,0.0381,0.0157,0.1571,1.2193,0.5926,9.6111,1604.25,0.0,0.4949,1.0,0.4492,-0.0,0.01877,0.00106,0.16109,0.7614,-0.5979,-0.7188,0.0314,0.1447,1.0634,1.1928,-0.6951,-0.7386
ACCAD_Female1Gestures_c3d_D1_-_Urban_1_poses_120_jpos,768,15.36,50.0,0.1002,0.2253,0.0585,0.0121,0.6107,2.555,1.5479,12.9781,1527.21,0.8268,0.0,0.0,0.0,-0.0,0.02837,0.00037,0.00037,0.5208,-0.4344,-0.5,0.0582,0.1616,1.0974,1.2734,-0.1028,-0.2493
ACCAD_Female1Gestures_c3d_D2_-_Wait_1_poses_120_jpos,1927,38.54,50.0,0.0498,0.1393,0.1511,0.023,0.3563,35.1114,1.0711,143.99,1354.59,0.8277,0.0,0.0,0.0,-4e-05,0.029,0.00097,0.00097,0.3114,-0.4329,-0.5,0.0365,0.1241,1.0741,1.3145,-0.1074,-0.2052
ACCAD_Female1Gestures_c3d_D3_-_Conversation_Gestures_poses_120_jpos,2536,50.72,50.0,0.045,0.112,0.0539,0.0064,0.216,1.9953,0.8006,9.8833,1135.73,0.0497,0.0,0.0,0.3979,-2e-05,0.01354,0.00384,0.00384,0.7886,-0.096,-0.5,0.031,0.106,1.0545,1.1973,-0.0786,-0.1877
ACCAD_Female1Gestures_c3d_Female1_Subj_Calibration_poses_120_jpos,150,3.0,50.0,0.008,0.0161,0.0027,0.0003,0.0655,0.2992,0.2658,40.921,1202.64,0.0,0.0,0.0,1.0,0.0,0.00039,4e-05,4e-05,0.0,-0.0308,-0.0356,0.0215,0.0681,1.0205,1.5934,-0.0336,-0.2397
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,254,5.08,50.0,2.1335,3.5796,0.1499,0.0375,1.5322,4.3348,6.5664,15.0545,4810.1,0.8268,0.0,0.0,0.0,0.0,0.04614,0.00629,0.00629,2.3622,-0.4736,-0.5,0.3441,2.2645,2.1689,2.9014,-0.3277,-1.5448
ACCAD_Female1Running_c3d_C11_-__run_turn_left_(90)_poses_120_jpos,116,2.32,50.0,2.2102,2.5982,0.1345,0.036,1.5658,3.0462,6.2123,25.062,4916.45,0.9052,0.0,0.0,0.0,-0.0,0.04828,0.00244,0.00244,0.8621,-0.4723,-0.5,0.3286,2.1883,2.0285,2.5079,-0.1457,-0.2161
ACCAD_Female1Running_c3d_C13_-__run_turn_left_(135)_poses_120_jpos,143,2.86,50.0,1.9265,2.6903,0.1533,0.042,1.7148,3.7089,5.5612,13.1419,4549.06,0.8951,0.0,0.0,0.0,0.0,0.05188,0.00044,0.00044,1.3986,-0.4757,-0.5,0.3156,1.3565,1.8111,2.0992,-0.1727,-0.2811
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,213,4.26,50.0,1.3586,2.359,0.1403,0.0319,1.1216,2.9482,4.5752,11.8484,3709.32,0.6197,0.0,0.0,0.2676,0.0,0.02847,0.00305,0.00305,2.5822,-0.3566,-0.5,0.2037,1.2361,1.8387,2.4461,-0.1213,-1.226
ACCAD_Female1Running_c3d_C15_-__run_turn_right__(45)_poses_120_jpos,106,2.12,50.0,2.8386,3.0496,0.1023,0.0301,1.4703,3.2772,6.9335,12.2084,5599.37,0.9057,0.0,0.0,0.0,-0.0,0.04962,0.0006,0.0006,1.8868,-0.4756,-0.5,0.3556,2.6782,2.1652,2.3325,-0.3366,-1.2803
ACCAD_Female1Running_c3d_C16_-__run_turn_right__(135)_poses_120_jpos,117,2.34,50.0,2.2455,2.9407,0.132,0.0326,1.7912,3.5011,6.1528,11.8612,4566.12,0.8034,0.0,0.0,0.0,0.0,0.04591,0.00045,0.00045,2.5641,-0.4649,-0.5,0.4064,1.5764,2.0325,2.1323,-0.2825,-1.1608
ACCAD_Female1Running_c3d_C19_-__run_to_hop_to_walk_poses_120_jpos,210,4.2,50.0,1.7644,2.8575,0.2905,0.0537,1.1869,3.6886,5.4937,59.336,4590.36,0.8619,0.0,0.0,0.0,0.0,0.04438,0.00636,0.00636,2.1429,-0.4696,-0.5,0.2272,1.0596,2.1199,2.6384,-0.2551,-1.3048
ACCAD_Female1Running_c3d_C20_-__run_to_jump_to_walk_poses_120_jpos,200,4.0,50.0,1.6612,2.7047,0.3421,0.0753,1.4435,4.463,5.2131,13.5581,5005.16,0.935,0.0,0.0,0.0,0.0,0.05442,0.00313,0.00313,0.5,-0.4852,-0.5,0.2279,1.6477,2.0021,2.7895,-0.3233,-1.0363
ACCAD_Female1Running_c3d_C21_-__run_to_pick_up_box_poses_120_jpos,241,4.82,50.0,0.781,2.5169,0.2898,0.1006,0.8461,3.5068,3.7741,11.4311,3017.65,0.8008,0.0,0.0,0.0,-0.0,0.0587,0.0032,0.0032,1.2448,-0.4325,-0.5,0.0918,0.8129,1.6322,2.033,-0.1973,-1.6901
ACCAD_Female1Running_c3d_C21_s2_-__run_to_pick_up_box_poses_120_jpos,128,2.56,50.0,2.6883,3.247,0.1711,0.0418,2.1146,4.2802,6.1037,14.1685,6880.84,0.8906,0.0,0.0,0.0,-0.0,0.04867,0.00514,0.00514,3.125,-0.4808,-0.5,0.2841,1.7201,1.9409,2.3623,-0.3643,-1.1288
ACCAD_Female1Running_c3d_C22_-__run_with_box_poses_120_jpos,99,1.98,50.0,3.2882,3.5081,0.1012,0.0275,1.6267,3.9993,7.113,15.0422,7398.82,0.7071,0.0,0.0,0.0,0.0,0.03501,0.00032,0.00032,7.0707,-0.4396,-0.5,0.3814,1.7825,2.2062,2.4842,-0.3234,-1.0251
ACCAD_Female1Running_c3d_C24_-__side_step_left_poses_120_jpos,198,3.96,50.0,1.5106,2.8768,0.1454,0.0393,1.4445,5.427,4.3413,11.5007,4379.09,0.9545,0.0,0.0,0.0,-0.0,0.09011,0.008,0.008,1.0101,-0.4917,-0.5,0.2471,1.161,1.7803,2.0917,-0.5141,-1.2292
ACCAD_Female1Running_c3d_C25_-__side_step_right_poses_120_jpos,215,4.3,50.0,1.3919,2.6682,0.1248,0.0358,1.2463,3.1485,4.4351,11.9474,4325.76,0.8791,0.0,0.0,0.0,0.0,0.0505,0.00396,0.00396,1.6279,-0.4711,-0.5,0.2542,1.2874,1.7501,2.1273,-0.2393,-1.1229
ACCAD_Female1Running_c3d_C26_-__run_to_crouch_poses_120_jpos,150,3.0,50.0,1.6467,3.0502,0.2962,0.1181,1.3097,4.1797,5.642,19.978,5200.12,0.8933,0.0,0.0,0.0,-0.0,0.06173,0.00535,0.00535,2.0,-0.4786,-0.5,0.224,1.4972,1.7332,2.0733,-0.2604,-0.7537
ACCAD_Female1Running_c3d_C27_-_crouch_to_run1_poses_120_jpos,161,3.22,50.0,2.0174,3.6025,0.3726,0.1318,1.2744,3.109,7.0727,20.0461,5278.17,0.9255,0.0,0.0,0.0,0.0,0.0613,0.00453,0.00453,1.8634,-0.4939,-0.5301,0.3038,1.4422,2.1658,2.8009,-0.3746,-1.0815
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,266,5.32,50.0,0.9066,3.3381,0.1281,0.0219,0.6802,4.4587,4.7528,45.3995,4226.33,0.3459,0.0,0.0,0.5301,0.0,0.00477,0.00031,0.00031,1.8797,-0.2216,-0.5,0.0504,0.6523,2.0326,2.6108,-0.0888,-0.5438
ACCAD_Female1Running_c3d_C3_-_Run_poses_120_jpos,85,1.7,50.0,3.8405,3.9912,0.1451,0.0375,1.5306,2.8663,9.9641,19.3117,9872.3,0.7529,0.0,0.0,0.0,0.0,0.0476,0.00036,0.00036,5.2941,-0.4456,-0.5,0.4587,4.7575,2.6429,3.0732,-0.3646,-0.9897
ACCAD_Female1Running_c3d_C4_-_Run_to_walk1_poses_120_jpos,177,3.54,50.0,1.5411,2.9693,0.1199,0.0254,0.8993,2.799,5.1047,12.719,3918.43,0.7966,0.0,0.0,0.0,-0.0,0.03489,0.00151,0.00151,1.4124,-0.4408,-0.5,0.1569,1.2391,2.0292,2.5806,-0.1996,-0.476
ACCAD_Female1Running_c3d_C5_-_walk_to_run_poses_120_jpos,271,5.42,50.0,1.2739,3.3346,0.133,0.0266,0.7692,2.4397,4.4509,13.3515,3389.03,0.5941,0.0,0.0,0.1734,0.0,0.03119,0.00117,0.00117,1.107,-0.3471,-0.5,0.1285,0.6226,1.9037,2.4317,-0.1067,-0.4018
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,374,7.48,50.0,0.7567,2.2981,0.0749,0.014,0.6811,2.847,3.2894,10.2962,2504.55,0.4332,0.0,0.0,0.5481,0.0,0.00836,0.0002,0.0002,0.2674,-0.2302,-0.5,0.0551,0.6952,1.8307,2.3298,-0.0347,-0.1145
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,155,3.1,50.0,2.2015,2.5851,0.0767,0.0218,1.3673,3.4332,5.9426,11.2116,4998.59,0.5742,0.0,0.0,0.0,0.0,0.02122,0.00169,0.00169,7.7419,-0.3643,-0.5,0.2777,1.5206,2.1061,2.3651,-0.275,-2.2281
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,220,4.4,50.0,1.408,2.5181,0.1027,0.0227,1.045,2.7612,4.7885,10.689,4257.54,0.7182,0.0,0.0,0.1545,-0.0,0.03552,0.00012,0.00012,3.4091,-0.3867,-0.5,0.1752,1.8227,1.9829,2.4495,-0.0754,-0.4407
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,115,2.3,50.0,2.7756,3.5624,0.123,0.0299,2.059,3.5823,7.9072,18.5456,6895.57,0.8,0.0,0.0,0.0,0.0,0.03724,0.0086,0.0086,5.2174,-0.4577,-0.5,0.3238,2.0634,2.3331,2.5812,-0.2585,-0.4802
ACCAD_Female1Walking_c3d_B10_-_walk_turn_left_(45)_poses_120_jpos,396,7.92,50.0,0.7946,1.1051,0.06,0.0158,0.6003,1.3247,2.1804,7.6065,2389.99,0.6995,0.0,0.0,0.0,-0.0,0.02766,0.00114,0.00114,2.6515,-0.4212,-0.5,0.106,0.2381,1.2788,1.4123,-0.215,-0.4803
ACCAD_Female1Walking_c3d_B11_-_walk_turn_left_(135)_poses_120_jpos,468,9.36,50.0,0.6949,1.0809,0.0539,0.0138,0.646,2.264,2.0086,6.465,1886.4,0.6774,0.0,0.0,0.0,-0.0,0.02312,0.00181,0.00181,2.1368,-0.4053,-0.5,0.0937,0.2252,1.2141,1.3509,-0.1728,-0.4019
ACCAD_Female1Walking_c3d_B12_-_walk_turn_right_(90)_poses_120_jpos,388,7.76,50.0,0.7378,1.0802,0.1062,0.0204,0.6102,1.6749,2.066,6.532,1862.56,0.8634,0.0,0.0,0.0206,0.0,0.04259,0.00518,0.00518,1.0309,-0.4588,-0.5,0.0997,0.2177,1.2074,1.3421,-0.1766,-0.4074
ACCAD_Female1Walking_c3d_B13_-_walk_turn_right_(45)_poses_120_jpos,415,8.3,50.0,0.8235,1.1149,0.0875,0.0207,0.578,1.3795,2.1462,6.6376,1923.4,0.8867,0.0,0.0,0.0,-0.0,0.0467,0.00398,0.00398,1.0843,-0.4682,-0.5,0.1061,0.217,1.2745,1.4834,-0.1825,-0.376
ACCAD_Female1Walking_c3d_B14_-_walk_turn_right_(135)_poses_120_jpos,448,8.96,50.0,0.773,1.0964,0.0633,0.015,0.7121,2.5635,2.1564,7.4486,2189.96,0.9487,0.0,0.0,0.0,-0.0,0.04694,0.00463,0.00463,0.4464,-0.4868,-0.5,0.1084,0.228,1.2695,1.4448,-0.2081,-0.3848
ACCAD_Female1Walking_c3d_B15_-_walk_turn_around_(same_direction)_poses_120_jpos,530,10.6,50.0,0.679,1.0504,0.0519,0.0131,0.7262,2.1149,1.9432,6.7623,1976.51,0.6019,0.0,0.0,0.0,-0.0,0.02384,0.00156,0.00156,2.7358,-0.3833,-0.5,0.094,0.2132,1.2051,1.4649,-0.1807,-0.412
ACCAD_Female1Walking_c3d_B16_-_walk_turn_change_direction_poses_120_jpos,551,11.02,50.0,0.5961,1.0958,0.0908,0.0156,0.6582,1.5705,1.94,6.8863,1808.32,0.7713,0.0,0.0,0.0073,-0.0,0.02984,0.00736,0.00736,1.0889,-0.4236,-0.5,0.0847,0.1953,1.2127,1.4358,-0.1498,-0.3815
ACCAD_Female1Walking_c3d_B17_-_walk_to_hop_to_walk1_poses_120_jpos,314,6.28,50.0,1.1273,1.6539,0.1826,0.0349,0.7591,2.557,3.3197,10.69,2604.65,0.8025,0.0,0.0,0.0,-0.0,0.05424,0.00261,0.00261,1.1146,-0.4409,-0.5,0.1393,0.3623,1.5037,2.309,-0.1823,-0.4699
ACCAD_Female1Walking_c3d_B18_-_walk_to_leap_to_walk_poses_120_jpos,285,5.7,50.0,1.2084,1.9525,0.3654,0.0671,1.106,5.1611,4.3249,30.8069,3589.55,0.8667,0.0,0.0,0.0,-0.0,0.07115,0.00205,0.00205,1.2281,-0.4699,-0.5,0.1584,1.1646,1.9624,2.7585,-0.2373,-0.515
ACCAD_Female1Walking_c3d_B19_-_walk_to_pick_up_box_poses_120_jpos,346,6.92,50.0,0.4709,1.1148,0.4017,0.1328,0.6368,1.4139,2.2736,6.5053,1719.87,0.9133,0.0,0.0,0.0,0.0,0.05939,0.00257,0.00257,0.7225,-0.4765,-0.5,0.0793,0.2041,1.2255,1.4531,-0.2091,-0.4478
ACCAD_Female1Walking_c3d_B1_-_stand_to_walk_poses_120_jpos,311,6.22,50.0,0.5019,0.8725,0.0565,0.0162,0.5231,1.2152,1.6106,5.5579,1458.99,0.6399,0.0,0.0,0.0354,-0.0,0.02572,0.00219,0.00219,1.7685,-0.3744,-0.5,0.0773,0.1685,1.1987,1.282,-0.1344,-0.3869
ACCAD_Female1Walking_c3d_B20_-_walk_with_box_poses_120_jpos,214,4.28,50.0,0.7588,1.16,0.0631,0.0148,0.661,1.3739,2.0459,6.5674,2431.14,0.6308,0.0,0.0,0.1075,0.0,0.02348,0.00121,0.00121,2.5701,-0.3804,-0.5,0.1148,0.2733,1.3152,1.6163,-0.1571,-0.5022
ACCAD_Female1Walking_c3d_B21_-_put_down_box_to_walk_poses_120_jpos,471,9.42,50.0,0.6877,1.1851,0.1571,0.0378,0.7304,2.3219,2.2254,9.1528,2076.67,0.9236,0.0,0.0,0.0,0.0,0.06251,0.00346,0.00346,0.7431,-0.4801,-0.5,0.1087,0.2808,1.2627,1.4591,-0.2773,-0.9922
ACCAD_Female1Walking_c3d_B21_s2_-_put_down_box_to_walk_poses_120_jpos,574,11.48,50.0,0.5229,1.0898,0.1664,0.0341,0.613,1.5958,2.0555,15.8175,2185.3,0.7265,0.0,0.0,0.1411,0.0,0.045,0.00207,0.00207,0.8711,-0.3876,-0.5,0.1036,0.2458,1.2173,1.5062,-0.0817,-0.5279
ACCAD_Female1Walking_c3d_B21_s3_-_put_down_box_to_walk_poses_120_jpos,537,10.74,50.0,0.5666,1.1517,0.1828,0.0415,0.5857,2.1423,2.0692,10.9219,2081.34,0.7542,0.0,0.0,0.1304,0.0,0.0456,0.00631,0.00631,0.7449,-0.399,-0.5,0.096,0.2203,1.2304,1.9536,-0.1178,-2.0855
ACCAD_Female1Walking_c3d_B22_-_side_step_left_poses_120_jpos,460,9.2,50.0,0.5525,1.0869,0.1297,0.0248,0.6357,1.5095,1.7255,14.5236,1615.27,0.837,0.0,0.0,0.0913,0.0,0.04436,0.00528,0.00528,1.087,-0.435,-0.5,0.0971,0.2747,1.2577,1.4556,-0.1283,-0.5241
ACCAD_Female1Walking_c3d_B23_-_side_step_right_poses_120_jpos,416,8.32,50.0,0.6857,1.1908,0.1161,0.0346,0.8116,1.9184,1.7747,5.75,1805.13,0.9351,0.0,0.0,0.0024,0.0,0.06198,0.00296,0.00296,0.9615,-0.4849,-0.5,0.1191,0.268,1.3232,1.5601,-0.3462,-0.583
ACCAD_Female1Walking_c3d_B24_-_walk_to_crouch_poses_120_jpos,354,7.08,50.0,0.3555,1.0399,0.3566,0.1539,0.3957,1.2785,1.6853,7.3408,1786.48,0.613,0.0,0.0,0.1582,0.0,0.03205,0.00155,0.00155,1.5537,-0.3604,-0.5,0.0718,0.2142,1.1886,1.4138,-0.1152,-0.422
ACCAD_Female1Walking_c3d_B25_-_crouch_to_walk1_poses_120_jpos,296,5.92,50.0,0.5513,1.0871,0.3709,0.1391,0.5797,1.7825,2.3178,6.8347,1731.64,0.8007,0.0,0.0,0.0,-0.0,0.04014,0.00306,0.00306,1.5203,-0.4469,-0.5,0.0839,0.2,1.2863,1.4281,-0.1989,-0.39
ACCAD_Female1Walking_c3d_B27_-skip_to_walk1_poses_120_jpos,337,6.74,50.0,0.8813,1.5613,0.1795,0.0439,0.7842,2.5655,2.9222,10.7455,2765.17,0.8694,0.0,0.0,0.0,-0.0,0.05654,0.00387,0.00387,1.0386,-0.465,-0.5,0.1527,0.5557,1.8393,2.1671,-0.237,-0.5584
ACCAD_Female1Walking_c3d_B2_-_walk_to_stand_poses_120_jpos,284,5.68,50.0,0.5439,0.9331,0.0437,0.0107,0.5535,4.4239,1.7405,7.9076,1935.55,0.5106,0.0,0.0,0.2465,-0.0,0.02033,0.00122,0.00122,2.1127,-0.3127,-0.5,0.089,0.2083,1.2294,1.3178,-0.1092,-0.381
ACCAD_Female1Walking_c3d_B2_-_walk_to_stand_t2_poses_120_jpos,245,4.9,50.0,0.5878,0.9723,0.0477,0.0112,0.555,1.1535,1.6993,6.2422,1732.54,0.3551,0.0,0.0,0.2,-0.0,0.01481,0.00052,0.00052,2.6531,-0.2595,-0.5,0.084,0.2045,1.1937,1.4139,-0.1128,-0.409
ACCAD_Female1Walking_c3d_B3_-_walk1_poses_120_jpos,381,7.62,50.0,0.8898,1.0801,0.0968,0.0225,0.5812,1.3172,2.1552,6.3659,1739.69,0.8924,0.0,0.0,0.0,-0.0,0.05013,0.00193,0.00193,0.6562,-0.4695,-0.5,0.0974,0.1815,1.2549,1.406,-0.2126,-0.4415
ACCAD_Female1Walking_c3d_B4_-_stand_to_walk_back_poses_120_jpos,378,7.56,50.0,0.4158,0.7293,0.0369,0.0092,0.5415,1.6259,1.4321,7.3624,1652.31,0.4233,0.0,0.0,0.2751,-0.0,0.01726,0.00035,0.00035,2.1164,-0.2538,-0.5,0.0671,0.1972,1.1766,1.3762,-0.0823,-0.6866
ACCAD_Female1Walking_c3d_B5_-_walk_backwards_poses_120_jpos,577,11.54,50.0,0.6053,0.9578,0.0915,0.0229,0.6221,1.406,1.7666,6.13,1867.15,0.8007,0.0,0.0,0.1248,-0.0,0.05264,0.00348,0.00348,0.5199,-0.4114,-0.5,0.0852,0.2004,1.2885,1.6335,-0.0621,-0.2286
ACCAD_Female1Walking_c3d_B6_-_walk_backwards_to_stand_poses_120_jpos,409,8.18,50.0,0.3735,0.7525,0.0465,0.0124,0.5151,1.1361,1.2065,6.4268,1540.52,0.824,0.0,0.0,0.0685,-0.0,0.03363,0.0004,0.0004,0.2445,-0.4232,-0.5,0.0645,0.1498,1.1516,1.3197,-0.0677,-0.2226
ACCAD_Female1Walking_c3d_B7_-_walk_backwards_turn_forwards_poses_120_jpos,433,8.66,50.0,0.7925,1.1423,0.0785,0.018,0.7735,2.4333,2.1126,7.0355,2164.59,0.8037,0.0,0.0,0.0508,0.0,0.03647,0.0027,0.0027,1.3857,-0.4251,-0.5,0.105,0.2436,1.2721,1.4041,-0.118,-0.4462
ACCAD_Female1Walking_c3d_B9_-_walk_turn_left_(90)_poses_120_jpos,355,7.1,50.0,0.711,1.0588,0.0583,0.0138,0.6432,1.6035,1.9743,6.7862,1699.98,0.7859,0.0,0.0,0.0,-0.0,0.02819,0.00149,0.00149,1.6901,-0.4437,-0.5,0.1043,0.2078,1.226,1.3855,-0.2003,-0.4577
ACCAD_Male1General_c3d_General_A11_-___Military_Crawl_Forward_poses_120_jpos,531,10.62,50.0,0.3194,0.7341,0.1156,0.034,1.3918,25.4295,3.8833,143.99,4941.07,0.7533,0.194,0.209,0.0,-0.0,0.09231,0.09662,0.09662,0.7533,-0.4909,-0.5,0.1675,0.5326,1.4466,15.3379,-0.3065,-0.6151
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,823,16.46,50.0,0.2393,0.4531,0.1431,0.0271,1.4136,24.5063,2.6329,143.99,3013.14,0.0267,0.9077,0.9733,0.0,-3e-05,0.05569,0.02819,0.07833,0.729,-0.5065,-0.6931,0.1307,0.4054,1.3273,4.4527,-0.5952,-0.7389
ACCAD_Male1General_c3d_General_A1_-_Stand_poses_120_jpos,310,6.2,50.0,0.0714,0.5725,0.0227,0.0028,0.1686,1.596,0.3593,4.0711,502.57,0.0,0.0,0.0,0.8677,0.0,0.00068,0.00227,0.00227,0.4839,-0.0602,-0.185,0.0223,0.1049,1.0253,1.2622,-0.0565,-0.222
ACCAD_Male1General_c3d_General_A2_-_Sway_poses_120_jpos,452,9.04,50.0,0.0321,0.0948,0.0104,0.0025,0.2076,0.659,0.255,4.9758,635.79,0.0044,0.0,0.0,0.4735,0.0,0.01085,0.00049,0.00049,0.6637,-0.0865,-0.5,0.0188,0.0575,1.0279,1.1285,-0.0804,-0.2267
