clip,knn_dist,support_density,category,category_mass,duration_s
BMLmovi_Subject_8_F_MoSh_Subject_8_F_8_poses_120_jpos,1.2509,0.11877,quiet,0.2275,4.40
GRAB_s3_mug_drink_3,0.6911,0.14861,locomotion,0.6226,7.62
KIT_359_walking_medium03_poses_100_jpos,1.7138,0.05740,locomotion,0.6226,5.26
CMU_35_35_03_poses_120_jpos,3.0498,0.00466,locomotion,0.6226,3.56
KIT_3_golf_drive02_poses_100_jpos,1.9247,0.04856,locomotion,0.6226,5.52
Eyes_Japan_Dataset_kaiwa_walk-29-look_down-kaiwa_poses_120_jpos,0.9418,0.14458,locomotion,0.6226,29.60
CMU_30_30_02_poses_120_jpos,1.1318,0.09935,quiet,0.2275,19.86
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,1.6360,0.06609,quiet,0.2275,13.32
CMU_118_118_19_poses_120_jpos,2.4525,0.02427,locomotion,0.6226,5.10
Eyes_Japan_Dataset_hamada_sitdown_standup-05-straight-hamada_poses_120_jpos,3.0229,0.00425,ground,0.0317,30.00
KIT_167_turn_right05_poses_100_jpos,1.5206,0.08812,locomotion,0.6226,6.28
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,1.8863,0.04775,quiet,0.2275,3.94
Eyes_Japan_Dataset_takiguchi_walk-07-moonwalk-takiguchi_poses_250_jpos,1.2527,0.10157,locomotion,0.6226,33.00
BMLmovi_Subject_64_F_MoSh_Subject_64_F_9_poses_120_jpos,2.7587,0.01152,ground,0.0317,9.98
CMU_54_54_24_poses_120_jpos,2.1051,0.05127,quiet,0.2275,22.40
BMLmovi_Subject_45_F_MoSh_Subject_45_F_5_poses_120_jpos,1.5763,0.09235,quiet,0.2275,3.34
CMU_18_19_Justin_18_11_poses_120_jpos,1.4599,0.11865,locomotion,0.6226,15.92
Eyes_Japan_Dataset_takiguchi_accident-11-fall_down-takiguchi_poses_120_jpos,2.3990,0.03075,locomotion,0.6226,30.52
CMU_76_76_02_poses_120_jpos,1.9843,0.04746,locomotion,0.6226,9.70
Eyes_Japan_Dataset_kawaguchi_gesture_etc-39-giant_baba-kawaguchi_poses_120_jpos,1.5928,0.07410,dynamic,0.1182,21.20
CMU_131_131_01_poses_120_jpos,2.2197,0.01842,locomotion,0.6226,8.28
ACCAD_MartialArtsWalksTurns_c3d_E7_-_super_fast_advance_poses_120_jpos,1.8671,0.01594,dynamic,0.1182,4.24
DFaust_67_50007_50007_running_on_spot_poses_60_jpos,2.2585,0.03553,quiet,0.2275,9.02
DanceDB_20180501_CliodelaVara_CLIO_Rasopoulos_poses_120_jpos,1.5839,0.05194,locomotion,0.6226,167.40
CMU_18_19_Justin_18_04_poses_120_jpos,2.2453,0.00865,locomotion,0.6226,3.38
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,2.1049,0.02251,locomotion,0.6226,4.48
BMLmovi_Subject_58_F_MoSh_Subject_58_F_1_poses_120_jpos,2.2138,0.01231,locomotion,0.6226,5.44
BMLmovi_Subject_5_F_MoSh_Subject_5_F_6_poses_120_jpos,2.4521,0.02125,quiet,0.2275,3.50
ACCAD_Male2Walking_c3d_B27_-__skip_to_walk_a_poses_120_jpos,1.9427,0.02474,dynamic,0.1182,4.56
ACCAD_Male2Walking_c3d_B20_-__Walk_with_box_poses_120_jpos,3.0183,0.00206,dynamic,0.1182,6.44
CMU_20_21_Justin1_20_09_poses_120_jpos,1.6672,0.03112,locomotion,0.6226,5.44
ACCAD_s011_walkdog_poses_120_jpos,1.5150,0.04458,dynamic,0.1182,16.30
CMU_108_108_24_poses_120_jpos,2.2748,0.04179,dynamic,0.1182,4.42
Eyes_Japan_Dataset_kudo_jump-04-horizontal-kudo_poses_250_jpos,2.1147,0.03532,dynamic,0.1182,33.00
CMU_135_135_02_poses_120_jpos,3.2184,0.00159,locomotion,0.6226,43.36
DFaust_67_50025_50025_one_leg_jump_poses_60_jpos,1.5869,0.07080,quiet,0.2275,5.44
BMLmovi_Subject_3_F_MoSh_Subject_3_F_20_poses_120_jpos,1.6247,0.07468,locomotion,0.6226,2.98
Eyes_Japan_Dataset_kawaguchi_accident-02-dodge_fast-kawaguchi_poses_120_jpos,2.0131,0.04191,locomotion,0.6226,25.72
BMLmovi_Subject_32_F_MoSh_Subject_32_F_4_poses_120_jpos,1.6764,0.05551,locomotion,0.6226,7.38
DFaust_67_50025_50025_light_hopping_loose_poses_60_jpos,3.3019,0.00063,quiet,0.2275,3.66
CMU_91_91_43_poses_120_jpos,1.9661,0.04722,locomotion,0.6226,1.90
DFaust_67_50027_50027_one_leg_jump_poses_60_jpos,1.5039,0.10785,quiet,0.2275,4.30
BMLmovi_Subject_6_F_MoSh_Subject_6_F_13_poses_120_jpos,2.4201,0.00651,quiet,0.2275,2.98
ACCAD_Male2Running_c3d_C18_-_run_to_hop_to_walk_poses_120_jpos,3.1973,0.00059,dynamic,0.1182,4.52
ACCAD_Male2Running_c3d_C24_-_quick_sidestep_left_poses_120_jpos,1.3171,0.09983,dynamic,0.1182,2.00
BMLmovi_Subject_6_F_MoSh_Subject_6_F_19_poses_120_jpos,1.2763,0.07968,locomotion,0.6226,6.90
CMU_55_55_15_poses_120_jpos,2.4179,0.01123,locomotion,0.6226,80.78
CMU_75_75_12_poses_60_jpos,2.0513,0.02487,dynamic,0.1182,7.70
CMU_127_127_15_poses_120_jpos,1.7269,0.00337,dynamic,0.1182,1.36
BMLmovi_Subject_47_F_MoSh_Subject_47_F_10_poses_120_jpos,1.2036,0.12574,dynamic,0.1182,7.94
Transitions_mocap_mazen_c3d_twistdance_walk_poses_120_jpos,1.8093,0.05410,locomotion,0.6226,8.20
CMU_78_78_35_poses_120_jpos,2.3327,0.00346,dynamic,0.1182,1.84
CMU_127_127_10_poses_120_jpos,1.7880,0.00237,dynamic,0.1182,1.40
BMLmovi_Subject_34_F_MoSh_Subject_34_F_9_poses_120_jpos,1.2687,0.09503,dynamic,0.1182,6.98
CMU_35_35_25_poses_120_jpos,1.7182,0.00344,dynamic,0.1182,1.38
Eyes_Japan_Dataset_kawaguchi_turn-05-turn-kawaguchi_poses_120_jpos,3.3900,0.00098,locomotion,0.6226,24.50
CMU_127_127_16_poses_120_jpos,2.1412,0.00615,dynamic,0.1182,2.16
ACCAD_Male2Running_c3d_C4_-_run_to_walk_poses_120_jpos,2.0439,0.00570,dynamic,0.1182,3.86
ACCAD_Male2Running_c3d_C4_-_run_to_walk_a_poses_120_jpos,2.0439,0.00570,dynamic,0.1182,3.86
CMU_108_108_15_poses_120_jpos,2.2390,0.00793,dynamic,0.1182,2.96
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,1.6164,0.03379,dynamic,0.1182,2.96
DFaust_67_50022_50022_shake_hips_poses_60_jpos,2.6850,0.01389,quiet,0.2275,4.48
ACCAD_Male2Running_c3d_C5_-_walk_to_run_poses_120_jpos,2.1110,0.00370,dynamic,0.1182,3.56
CMU_35_35_21_poses_120_jpos,1.4442,0.00423,dynamic,0.1182,1.34
Eyes_Japan_Dataset_hamada_jump-07-rope_double-hamada_poses_120_jpos,1.7933,0.03225,locomotion,0.6226,30.00
Eyes_Japan_Dataset_hamada_jump-12-boxer_step-hamada_poses_120_jpos,1.4720,0.07856,locomotion,0.6226,30.00
CMU_64_64_09_poses_120_jpos,2.6564,0.00482,locomotion,0.6226,3.76
CMU_75_75_11_poses_60_jpos,2.2552,0.00957,dynamic,0.1182,2.92
BMLmovi_Subject_5_F_MoSh_Subject_5_F_12_poses_120_jpos,1.2638,0.08658,locomotion,0.6226,4.60
