clip,knn_dist,support_density,category,category_mass,duration_s
Eyes_Japan_Dataset_kaiwa_jump-04-horizontal-kaiwa_poses_120_jpos,1.7172,0.07394,dynamic,0.1182,30.00
Eyes_Japan_Dataset_kanno_accident-02-dodge_fast-kanno_poses_120_jpos,1.4439,0.09318,locomotion,0.6226,29.76
Eyes_Japan_Dataset_kanno_accident-03-damage_head-kanno_poses_120_jpos,0.7064,0.17473,locomotion,0.6226,29.76
Eyes_Japan_Dataset_kanno_gesture_etc-50-syuriken-kanno_poses_120_jpos,0.4351,0.12892,quiet,0.2275,32.80
Eyes_Japan_Dataset_kanno_pose-19-funny-kanno_poses_120_jpos,0.6403,0.13597,quiet,0.2275,29.76
Eyes_Japan_Dataset_kawaguchi_pose-04-drank-kawaguchi_poses_120_jpos,1.5186,0.08952,locomotion,0.6226,22.16
Eyes_Japan_Dataset_kawaguchi_throw_toss-05-both_hands_over_heavy-kawaguchi_poses_120_jpos,0.9929,0.13512,locomotion,0.6226,19.64
Eyes_Japan_Dataset_takiguchi_jump-05-rope_normal_run-takiguchi_poses_120_jpos,1.8688,0.02542,quiet,0.2275,24.82
Eyes_Japan_Dataset_yamaoka_tennis-18-catch_netball-yamaoka_poses_120_jpos,1.8339,0.05790,dynamic,0.1182,25.00
GRAB_s1_toothpaste_pick_all,0.6728,0.14579,quiet,0.2275,32.72
GRAB_s3_eyeglasses_clean_1,0.9500,0.16697,locomotion,0.6226,10.04
GRAB_s3_waterbottle_pick_all,0.8026,0.18457,locomotion,0.6226,19.84
GRAB_s4_apple_pick_all,0.6035,0.18280,locomotion,0.6226,15.30
GRAB_s5_spherelarge_pick_all,0.7879,0.15895,quiet,0.2275,18.20
GRAB_s6_mouse_pick_all,0.8658,0.14560,locomotion,0.6226,16.58
GRAB_s6_spherelarge_pick_all,0.8598,0.15260,locomotion,0.6226,16.74
GRAB_s7_stapler_staple_1,1.4626,0.07456,locomotion,0.6226,8.08
GRAB_s8_toruslarge_inspect_1,0.7267,0.20450,locomotion,0.6226,7.94
GRAB_s9_stapler_pass_1,0.6238,0.21352,locomotion,0.6226,6.26
KIT_10_WalkInClockwiseCircle08_poses_100_jpos,1.8538,0.04802,locomotion,0.6226,6.88
KIT_1229_hand_through_hair_right_arm_02_poses_100_jpos,0.5109,0.11477,quiet,0.2275,3.80
KIT_1487_stirring_in_the_bowl07_poses_100_jpos,0.5635,0.15448,quiet,0.2275,8.82
KIT_1717_displace_from_left_to_right_14_poses_100_jpos,0.4514,0.16018,quiet,0.2275,5.04
KIT_291_shake_hand05_poses_100_jpos,0.6175,0.10738,quiet,0.2275,4.24
KIT_379_push_recovery_left05_poses_100_jpos,1.5782,0.08899,locomotion,0.6226,6.50
KIT_3_kneel_down_with_right_hand03_poses_100_jpos,2.8302,0.00914,ground,0.0317,5.90
KIT_3_seesaw07_poses_100_jpos,0.7776,0.14823,locomotion,0.6226,7.02
KIT_3_walking_medium08_poses_100_jpos,0.8507,0.17280,locomotion,0.6226,5.40
KIT_3_wave_left01_poses_100_jpos,0.5242,0.17310,quiet,0.2275,4.26
KIT_421_push_recovery_stand_left03_poses_100_jpos,0.8568,0.18538,locomotion,0.6226,9.00
KIT_424_seesaw04_poses_100_jpos,0.9182,0.11112,locomotion,0.6226,8.18
KIT_424_walking_fast08_poses_100_jpos,1.1718,0.11384,locomotion,0.6226,4.96
KIT_425_bend_left06_poses_100_jpos,1.4291,0.08305,locomotion,0.6226,4.28
KIT_513_kick07_poses_100_jpos,1.4729,0.07815,locomotion,0.6226,6.04
KIT_572_throw_left04_poses_100_jpos,0.9236,0.15810,quiet,0.2275,3.98
KIT_572_wipe_circular_left07_poses_100_jpos,0.3636,0.13367,quiet,0.2275,6.58
KIT_675_walk_with_table_left04_poses_100_jpos,1.1945,0.07517,locomotion,0.6226,6.30
KIT_8_RightTurn03_poses_100_jpos,1.0824,0.09819,locomotion,0.6226,5.50
KIT_8_WalkingStraightForwards09_poses_100_jpos,0.7512,0.14510,locomotion,0.6226,6.38
KIT_950_Wipe_Back_Small_Circle_01_poses_100_jpos,1.1161,0.05125,quiet,0.2275,9.90
KIT_969_Trial_30_poses_100_jpos,0.3245,0.13277,quiet,0.2275,13.34
SFU_0015_0015_BasicKendo001_poses_120_jpos,1.9906,0.05876,locomotion,0.6226,56.86
SFU_0015_0015_Kirikaeshi001_poses_120_jpos,1.9649,0.05296,dynamic,0.1182,32.26
Transitions_mocap_mazen_c3d_kick_walk_poses_120_jpos,1.8045,0.06291,locomotion,0.6226,9.68
