clip,fps,frames,guard_s,guard_mode,min_seg_s,bin_frames,severity,source_screen_sha256,reducer_sha256,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
BMLmovi_Subject_51_F_MoSh_Subject_51_F_5_poses_120_jpos,50.0,285,0.0,symmetric,0.0,50,severe,c36a61149b20e8d38b770280eb6a38dfcfab541cfca2b84970c3d231e81019ae,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.21052631578947367,0.21052631578947367,0.0,0.21052631578947367,0.21052631578947367,0.7894736842105263,5,torque_limited,0.06,6,6,2,0.3333333333333333,1.0343142764611437
BMLmovi_Subject_53_F_MoSh_Subject_53_F_20_poses_120_jpos,50.0,435,0.0,symmetric,0.0,50,severe,786f82e62efdabe0067a0c4be2fb3f507a764b28c7af5f5c5ded8eaf59e78279,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1724137931034483,0.15632183908045977,0.0,0.15632183908045977,0.15632183908045977,0.8436781609195402,12,torque_limited,0.06,13,9,3,0.3333333333333333,1.3254387381951958
BMLmovi_Subject_72_F_MoSh_Subject_72_F_6_poses_120_jpos,50.0,237,0.0,symmetric,0.0,50,severe,758015563de701122421f0708d144226f886a91b2f28410ddd62c1ef9590ff1a,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1350210970464135,0.1350210970464135,0.0,0.1350210970464135,0.1350210970464135,0.8649789029535865,1,torque_limited,0.06,2,5,4,0.8,0.9946293834417359
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,50.0,299,0.0,symmetric,0.0,50,severe,cee244ce31639197c4ecf8b80ab5c0f3c03aca0190202d25a957bc9015c84651,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.4180602006688963,0.4180602006688963,0.0,0.4180602006688963,0.4180602006688963,0.5819397993311036,2,torque_limited,0.06,3,6,1,0.16666666666666666,1.1760547726383195
CMU_02_02_08_poses_120_jpos,50.0,625,0.0,symmetric,0.0,50,severe,8b7e666a57469403a822ab2f49084f39c8939b59cdf9b2c435223caa94af1887,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1168,0.1168,0.0,0.1168,0.1168,0.8832,3,torque_limited,0.06,4,13,8,0.6153846153846154,1.0249586699403896
CMU_07_07_01_poses_120_jpos,50.0,132,0.0,symmetric,0.0,50,severe,1cfaad0863a9a3a13486d5757cbae4e12cad3e6aed99e078badc79c55ca4daa1,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.12121212121212122,0.15151515151515152,0.0,0.15151515151515152,0.15151515151515152,0.8484848484848485,4,torque_limited,0.06,4,3,1,0.3333333333333333,1.123528851061014
CMU_102_102_20_poses_120_jpos,50.0,253,0.0,symmetric,0.0,50,severe,13ccc12eaac7c0d648ae8dc6e105ae21ce405d9c3a93e408ed0989d17c614eda,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.3201581027667984,0.30434782608695654,0.0,0.30434782608695654,0.30434782608695654,0.6956521739130435,8,torque_limited,0.06,8,6,1,0.16666666666666666,1.2255233064637434
CMU_108_108_13_poses_120_jpos,50.0,65,0.0,symmetric,0.0,50,severe,68af7dd0380a286e5b1f675189073aa862429f7771fb915209f813560c3ae46f,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.06153846153846154,0.12307692307692308,0.0,0.12307692307692308,0.12307692307692308,0.8769230769230769,2,torque_limited,0.06,1,2,0,0.0,0.9788532626420319
CMU_114_114_04_poses_120_jpos,50.0,373,0.0,symmetric,0.0,50,severe,edd4f3856912d31b14f92ee30d2bbea9935d0333b6e858f52215d822aaf1edef,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2359249329758713,0.2359249329758713,0.0,0.2359249329758713,0.2359249329758713,0.7640750670241286,1,torque_limited,0.06,1,8,6,0.75,1.0291778650379846
CMU_114_114_06_poses_120_jpos,50.0,426,0.0,symmetric,0.0,50,severe,a19fab147d1b56ea6cc97b9b4fd0ce4aeeefab418f28820cf5983f9d1ed60005,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.3967136150234742,0.4154929577464789,0.0,0.4154929577464789,0.4154929577464789,0.5845070422535211,1,torque_limited,0.06,1,9,5,0.5555555555555556,1.0243777662675324
CMU_114_114_09_poses_120_jpos,50.0,949,0.0,symmetric,0.0,50,severe,23ba0495254fc4879b24e5e9331d4d3f96243de80ebf80fb9920b15dd3359371,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.41938883034773444,0.41938883034773444,0.0,0.41938883034773444,0.41938883034773444,0.5806111696522656,2,torque_limited,0.06,3,19,9,0.47368421052631576,1.1755044428429808
CMU_115_115_06_poses_60_jpos,50.0,297,0.0,symmetric,0.0,50,severe,35f0d715b644642c9be8618fbd9eaca9d1474225d50c2c8eec46b6d2ccc8cac5,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2053872053872054,0.2053872053872054,0.0,0.2053872053872054,0.2053872053872054,0.7946127946127947,1,torque_limited,0.06,2,6,4,0.6666666666666666,1.123406555550939
CMU_120_120_07_poses_120_jpos,50.0,464,0.0,symmetric,0.0,50,severe,bb24b451b1edcaf3d5dfa99ef3494e18554b6f7108145de5f35fc11313060b0c,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.23922413793103448,0.17672413793103448,0.0,0.17672413793103448,0.17672413793103448,0.8232758620689655,8,torque_limited,0.06,9,10,4,0.4,1.363457354889829
CMU_120_120_21_poses_120_jpos,50.0,1297,0.0,symmetric,0.0,50,severe,50bb15490996f54b5765565b162c5a981788e922232d1b873c9c14e0ebd0130a,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2413261372397841,0.2413261372397841,0.0,0.2413261372397841,0.2413261372397841,0.7586738627602159,7,torque_limited,0.06,8,26,15,0.5769230769230769,1.0215955434133213
CMU_122_122_01_poses_120_jpos,50.0,264,0.0,symmetric,0.0,50,severe,fcb65c23731fa66e7c6c94ceb6eb845d4455cb59461f2845e0206a3075054ab1,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.14393939393939395,0.21212121212121213,0.0,0.21212121212121213,0.21212121212121213,0.7878787878787878,3,torque_limited,0.06,4,6,4,0.6666666666666666,0.9878878434488394
CMU_122_122_09_poses_120_jpos,50.0,188,0.0,symmetric,0.0,50,severe,e54c7e5088bdeea8384450aef3955875063c15feb752fbb49cd478a7c4ae1174,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.3723404255319149,0.3723404255319149,0.0,0.3723404255319149,0.3723404255319149,0.6276595744680851,1,torque_limited,0.06,1,4,2,0.5,1.0076079944484684
CMU_122_122_34_poses_120_jpos,50.0,403,0.0,symmetric,0.0,50,severe,bded7962988650949096a7ed2685e92a0a81d1767a501b20728d0aaa93f68a96,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.4317617866004963,0.4317617866004963,0.0,0.4317617866004963,0.4317617866004963,0.5682382133995038,1,torque_limited,0.06,1,9,4,0.4444444444444444,1.1117579082162738
CMU_127_127_16_poses_120_jpos,50.0,108,0.0,symmetric,0.0,50,severe,adba086f91ac5f4dc8daec330c0b891687bfd74d725a5b8173129bb70f1a9d6f,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.23148148148148148,0.2222222222222222,0.0,0.2222222222222222,0.2222222222222222,0.7777777777777778,4,torque_limited,0.06,4,3,1,0.3333333333333333,1.3838042703785938
CMU_131_131_12_poses_120_jpos,50.0,320,0.0,symmetric,0.0,50,severe,9ed10493e16f0a8fb733e83e8256a1c18554a24f24455bb835628deea93116dc,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1625,0.165625,0.0,0.165625,0.165625,0.834375,4,torque_limited,0.06,5,7,3,0.42857142857142855,1.0225586205551636
CMU_13_13_32_poses_120_jpos,50.0,140,0.0,symmetric,0.0,50,severe,7195af61af9df930005e7e3333f2607308b5d7f237b89adfd227d2d59bff72c9,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.37142857142857144,0.2357142857142857,0.0,0.2357142857142857,0.2357142857142857,0.7642857142857142,3,torque_limited,0.06,4,3,1,0.3333333333333333,1.9523866705957937
CMU_132_132_53_poses_120_jpos,50.0,2709,0.0,symmetric,0.0,50,severe,dfa1c5626e9d7ce65cd3b2665762caacf7c01f8b32d0a95442b175c5ef580a5d,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.15725359911406422,0.2517534145441122,0.0,0.2517534145441122,0.2517534145441122,0.7482465854558877,49,torque_limited,0.06,50,55,20,0.36363636363636365,0.9752455450948139
CMU_135_135_02_poses_120_jpos,50.0,2168,0.0,symmetric,0.0,50,severe,df74a35c6176bed85199fd27b6436d0e9dce730de835de57fe5fb48ee9a9acb2,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.27075645756457567,0.2878228782287823,0.00507380073800738,0.29289667896678967,0.29289667896678967,0.7071033210332104,57,torque_limited,0.06,58,44,11,0.25,1.1360947147212428
CMU_136_136_06_poses_120_jpos,50.0,393,0.0,symmetric,0.0,50,severe,50a3765514e5d0cade1d52ed658d5ffdc323c490cc5fbeb09f5b6340d879a10d,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.10687022900763359,0.17557251908396945,0.0,0.17557251908396945,0.17557251908396945,0.8244274809160306,8,torque_limited,0.06,9,8,3,0.375,0.9882088691627869
CMU_136_136_27_poses_120_jpos,50.0,453,0.0,symmetric,0.0,50,severe,ea5be51c6ffd1d005d88cf2cfba7612107dc0bc9aaf51f656aec2919bae41651,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2141280353200883,0.2163355408388521,0.0,0.2163355408388521,0.2163355408388521,0.7836644591611479,8,torque_limited,0.06,9,10,4,0.4,1.0073481164895584
CMU_137_137_08_poses_120_jpos,50.0,808,0.0,symmetric,0.0,50,severe,dda39b9b19aaceaba225feaf91dd7fb67f64bcd742efd5eca9c016a3fb705be4,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1150990099009901,0.1150990099009901,0.0,0.1150990099009901,0.1150990099009901,0.8849009900990099,9,torque_limited,0.06,10,17,9,0.5294117647058824,1.0197916846397115
CMU_138_138_25_poses_120_jpos,50.0,149,0.0,symmetric,0.0,50,severe,4a7a5eac431a849ac857bcbc45fba1c30bd68e0732c81ee1d38325002d59ac20,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.08053691275167785,0.12080536912751678,0.0,0.12080536912751678,0.12080536912751678,0.8791946308724832,3,torque_limited,0.06,3,3,1,0.3333333333333333,0.9167271435238226
CMU_139_139_15_poses_60_jpos,50.0,898,0.0,symmetric,0.0,50,severe,50731029e3b50329b2ebfe24d602387ef3b93c7396d567ee9bc0c38f70dd3495,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2505567928730512,0.2594654788418708,0.0,0.2594654788418708,0.2594654788418708,0.7405345211581291,13,torque_limited,0.06,14,18,3,0.16666666666666666,1.0175139307645606
CMU_143_143_09_poses_60_jpos,50.0,454,0.0,symmetric,0.0,50,severe,22181b32683588957a582b79d42460329fcf591c9178213d1ea3748d55066877,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.18502202643171806,0.10572687224669604,0.0,0.10572687224669604,0.10572687224669604,0.8942731277533039,8,torque_limited,0.06,9,10,6,0.6,1.287068521909095
CMU_144_144_05_poses_120_jpos,50.0,1161,0.0,symmetric,0.0,50,severe,c87f9b4a5c559060ba7d376f465e4ade490d5e16db640a3782a6c8c15e9d078f,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.29285099052540914,0.32127476313522824,0.0,0.32127476313522824,0.32127476313522824,0.6787252368647717,22,torque_limited,0.06,23,24,4,0.16666666666666666,1.0395118356393402
CMU_144_144_17_poses_120_jpos,50.0,1175,0.0,symmetric,0.0,50,severe,7cc5f90f0d233a91028234b27a108117dbba22e60b410cd32e865a320d79a2e6,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.19063829787234043,0.34808510638297874,0.0,0.34808510638297874,0.34808510638297874,0.6519148936170213,21,torque_limited,0.06,22,24,6,0.25,1.008815662610461
CMU_16_16_35_poses_120_jpos,50.0,68,0.0,symmetric,0.0,50,severe,8ebadad11e7c963c6a4fe16691cd0acbcce046cb5a5676df061563fee654f979,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.058823529411764705,0.11764705882352941,0.0,0.11764705882352941,0.11764705882352941,0.8823529411764706,2,torque_limited,0.06,1,2,0,0.0,1.066187543774497
CMU_18_19_Justin_18_07_poses_120_jpos,50.0,121,0.0,symmetric,0.0,50,severe,57895cf151d81073aaa5d74e99b3da472eb8bcc390c517de99d382e68a1c10c6,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.1487603305785124,0.1487603305785124,0.0,0.1487603305785124,0.1487603305785124,0.8512396694214877,2,torque_limited,0.06,3,3,1,0.3333333333333333,1.058161900925811
CMU_18_19_Justin_18_15_poses_120_jpos,50.0,640,0.0,symmetric,0.0,50,severe,181629764bea486d85ad94582ddeb05f5a11cdedcb2293190c2fac4ee22891b4,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.109375,0.11875,0.0,0.11875,0.11875,0.88125,4,torque_limited,0.06,5,13,9,0.6923076923076923,1.1173682147409747
CMU_36_36_04_poses_120_jpos,50.0,1553,0.0,symmetric,0.0,50,severe,63bf9e1250e6cc5da1202a9d6dea1ef170a85516652838c15f0a5cb597b43d12,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2755956213779781,0.27945911139729557,0.0,0.27945911139729557,0.27945911139729557,0.7205408886027045,8,torque_limited,0.06,9,32,16,0.5,1.0099774699561754
CMU_36_36_18_poses_120_jpos,50.0,1793,0.0,symmetric,0.0,50,severe,fef53a99231e3ca19d9d60fb4fa0266fac5765e9165573dd0583568abd0301a5,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.35861684327941995,0.35973229224762965,0.0,0.35973229224762965,0.35973229224762965,0.6402677077523703,8,torque_limited,0.06,9,36,16,0.4444444444444444,1.0673340641814522
CMU_54_54_21_poses_120_jpos,50.0,2912,0.0,symmetric,0.0,50,severe,3f4deffe799babbab631c8b91597adde77f5f948d49708a0b25222d1b5f8adad,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.11778846153846154,0.11778846153846154,0.0,0.11778846153846154,0.11778846153846154,0.8822115384615384,27,torque_limited,0.06,28,59,39,0.6610169491525424,0.9955924605835781
CMU_54_54_22_poses_120_jpos,50.0,1056,0.0,symmetric,0.0,50,severe,8a54c2bd85b5165ca0484e888bab949339a74151f1a8abee453a66a9b9888207,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.13920454545454544,0.13920454545454544,0.0,0.13920454545454544,0.13920454545454544,0.8607954545454546,11,torque_limited,0.06,11,22,13,0.5909090909090909,1.015587776480876
CMU_60_60_09_poses_60_jpos,50.0,2145,0.0,symmetric,0.0,50,severe,8d8cf5542f8a96597e99637a605e307d1a2bb7c5f071e7fd2e159ae87b8f5fae,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2573426573426573,0.26666666666666666,0.0,0.26666666666666666,0.26666666666666666,0.7333333333333333,37,torque_limited,0.06,38,43,12,0.27906976744186046,1.0804808315145378
CMU_78_78_31_poses_120_jpos,50.0,333,0.0,symmetric,0.0,50,severe,c5c70904216569167bebd8ddf2de9f55249e0c6f606ad6e024b045708f4be5ab,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2912912912912913,0.32732732732732733,0.003003003003003003,0.3303303303303303,0.3303303303303303,0.6696696696696697,12,torque_limited,0.06,13,7,1,0.14285714285714285,0.9548833426672905
CMU_82_82_07_poses_120_jpos,50.0,499,0.0,symmetric,0.0,50,severe,243a4d910d2c85cb93893464a9ead6b24b13cf122ba812fe0268c5201ec5536e,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.056112224448897796,0.35070140280561124,0.0,0.35070140280561124,0.35070140280561124,0.6492985971943888,11,torque_limited,0.06,12,10,2,0.2,0.9467506912472882
CMU_83_83_15_poses_120_jpos,50.0,218,0.0,symmetric,0.0,50,severe,82f2a3e522db3d0156d60c049e48586438e128a194d4b865760222883bb329a5,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.4954128440366973,0.4954128440366973,0.0,0.4954128440366973,0.4954128440366973,0.5045871559633027,1,torque_limited,0.06,1,5,2,0.4,1.0031747822082415
CMU_83_83_16_poses_120_jpos,50.0,213,0.0,symmetric,0.0,50,severe,85c9b7ca7df131cc6365ef20612132e337be93e4fb64185411b0ab087995ba37,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.40375586854460094,0.4084507042253521,0.0,0.4084507042253521,0.4084507042253521,0.5915492957746479,2,torque_limited,0.06,2,5,3,0.6,1.003495807922189
CMU_83_83_34_poses_120_jpos,50.0,403,0.0,symmetric,0.0,50,severe,9937a8ceb45174caf603ffa31a4e8f8dcb2596f27c96de289268feb07eecaedd,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.4317617866004963,0.4317617866004963,0.0,0.4317617866004963,0.4317617866004963,0.5682382133995038,1,torque_limited,0.06,1,9,4,0.4444444444444444,1.1057654282225886
CMU_83_83_49_poses_120_jpos,50.0,190,0.0,symmetric,0.0,50,severe,9a9b5aaac7fb90cd0ed53dbc80bb3a1b6e55f38b301c8061a592b27ebc0a45f5,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.17894736842105263,0.10526315789473684,0.0,0.10526315789473684,0.10526315789473684,0.8947368421052632,3,torque_limited,0.06,4,4,3,0.75,1.2888418068051866
CMU_83_83_53_poses_120_jpos,50.0,225,0.0,symmetric,0.0,50,severe,a99e1449736e4f8aa094ce828ad3b353bcbf9eae6d8718071f4a7d10c910a13c,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.3022222222222222,0.19555555555555557,0.0,0.19555555555555557,0.19555555555555557,0.8044444444444444,4,torque_limited,0.06,5,5,3,0.6,1.9185108143049585
DFaust_67_50004_50004_knees_poses_60_jpos,50.0,609,0.0,symmetric,0.0,50,severe,30cb701f91bb2b7254edaca2a610701c0a9abd2d7684b227b44cb1d635469c70,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.2348111658456486,0.2348111658456486,0.0,0.2348111658456486,0.2348111658456486,0.7651888341543513,3,torque_limited,0.06,4,13,8,0.6153846153846154,1.0063697524089565
DFaust_67_50025_50025_punching_poses_60_jpos,50.0,166,0.0,symmetric,0.0,50,severe,733a493e3e6cfd37080b14dd20185b91c9a37852d7cda46f7c9ffa00f17a8c08,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.13855421686746988,0.13855421686746988,0.0,0.13855421686746988,0.13855421686746988,0.8614457831325302,2,torque_limited,0.06,3,4,2,0.5,1.029498890751932
Eyes_Japan_Dataset_aita_accident-08-damage_rightfoot-aita_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,5de60a45a718eaf77fb43663aa3779d441381e96445250b30d6a1c1abcf004b2,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.162,0.162,0.0,0.162,0.162,0.838,6,torque_limited,0.06,7,30,21,0.7,1.0624575307172028
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,8553316181e3b85eb5bdeffbbb61a4e9bade330f615c977ffc64b306eddf0905,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.44,0.44,0.0,0.44,0.44,0.56,4,torque_limited,0.06,5,30,14,0.4666666666666667,1.1654914979555726
Eyes_Japan_Dataset_aita_sitdown_standup-16-reseat-aita_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,45d5cb05ee82cdb558925af20d274cd96741ef8242f172a557142f781e05efa3,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.39466666666666667,0.39466666666666667,0.0,0.39466666666666667,0.39466666666666667,0.6053333333333333,5,torque_limited,0.06,6,30,15,0.5,1.0998188090451813
Eyes_Japan_Dataset_aita_walk-23-shuffle_oneleg-aita_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,f5dfc3b19d649048e80165efe03001d4adfc15e7aa622e2b78eb1573f3655b80,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.28733333333333333,0.422,0.0,0.422,0.422,0.578,33,torque_limited,0.06,34,30,5,0.16666666666666666,1.0432112748191156
Eyes_Japan_Dataset_hamada_walk-02-drank-hamada_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,6ae9a300a2efff400bec62418538867bb8a5489cd2dd88aaead64dafe628a7ee,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.21666666666666667,0.22466666666666665,0.0,0.22466666666666665,0.22466666666666665,0.7753333333333333,36,torque_limited,0.06,37,30,9,0.3,1.1233454077959013
Eyes_Japan_Dataset_kaiwa_jump-03-vertical-kaiwa_poses_120_jpos,50.0,1500,0.0,symmetric,0.0,50,severe,ea8c14a69f92b7b7cd4b089b2cc00de8347ffe02de8499cbcf917555f2f0c0c4,5c46376599812bf081c5d26aa5153b23d3dee93b9aaedf192ca6e995b2d2f224,0.23,0.156,0.0,0.156,0.156,0.844,16,torque_limited,0.06,17,30,17,0.5666666666666667,1.6629284851865158
