clip,fps,frames,guard_s,min_seg_s,bin_frames,severity,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
CMU_83_83_34_poses_120_jpos,50.0,403,1.0,1.0,50,severe,0.4317617866004963,0.4317617866004963,0.0,0.4317617866004963,0.5558312655086849,0.4441687344913151,1,torque_limited,0.06,1,9,3,0.3333333333333333,1.1057654282225886
CMU_83_83_49_poses_120_jpos,50.0,190,1.0,1.0,50,severe,0.17894736842105263,0.10526315789473684,0.0,0.10526315789473684,0.6947368421052632,0.30526315789473685,3,torque_limited,0.06,1,4,1,0.25,1.2888418068051866
CMU_83_83_53_poses_120_jpos,50.0,225,1.0,1.0,50,severe,0.3022222222222222,0.19555555555555557,0.0,0.19555555555555557,0.7422222222222222,0.2577777777777778,4,torque_limited,0.06,1,5,1,0.2,1.9185108143049585
DFaust_67_50004_50004_knees_poses_60_jpos,50.0,609,1.0,1.0,50,severe,0.2348111658456486,0.2348111658456486,0.0,0.2348111658456486,0.5714285714285714,0.3694581280788177,3,torque_limited,0.06,2,13,4,0.3076923076923077,1.0063697524089565
DFaust_67_50025_50025_punching_poses_60_jpos,50.0,166,1.0,1.0,50,severe,0.13855421686746988,0.13855421686746988,0.0,0.13855421686746988,0.6566265060240963,0.3433734939759036,2,torque_limited,0.06,1,4,1,0.25,1.029498890751932
Eyes_Japan_Dataset_aita_accident-08-damage_rightfoot-aita_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.162,0.162,0.0,0.162,0.422,0.5506666666666666,6,torque_limited,0.06,2,30,16,0.5333333333333333,1.0624575307172028
Eyes_Japan_Dataset_aita_gesture_etc-20-swing_chair-aita_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.44,0.44,0.0,0.44,0.7066666666666667,0.264,4,torque_limited,0.06,3,30,6,0.2,1.1654914979555726
Eyes_Japan_Dataset_aita_sitdown_standup-16-reseat-aita_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.39466666666666667,0.39466666666666667,0.0,0.39466666666666667,0.6326666666666667,0.36733333333333335,5,torque_limited,0.06,3,30,9,0.3,1.0998188090451813
Eyes_Japan_Dataset_aita_walk-23-shuffle_oneleg-aita_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.28733333333333333,0.422,0.0,0.422,0.8486666666666667,0.15133333333333332,33,torque_limited,0.06,2,30,3,0.1,1.0432112748191156
Eyes_Japan_Dataset_hamada_walk-02-drank-hamada_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.21666666666666667,0.22466666666666665,0.0,0.22466666666666665,0.792,0.208,36,torque_limited,0.06,2,30,5,0.16666666666666666,1.1233454077959013
Eyes_Japan_Dataset_kaiwa_jump-03-vertical-kaiwa_poses_120_jpos,50.0,1500,1.0,1.0,50,severe,0.23,0.156,0.0,0.156,0.5746666666666667,0.386,16,torque_limited,0.06,2,30,10,0.3333333333333333,1.6629284851865158
Eyes_Japan_Dataset_kanno_accident-11-fall_down-kanno_poses_120_jpos,50.0,1488,1.0,1.0,50,severe,0.12231182795698925,0.1297043010752688,0.0,0.1297043010752688,0.6626344086021505,0.3077956989247312,18,torque_limited,0.06,2,30,8,0.26666666666666666,0.9875362438573734
Eyes_Japan_Dataset_yamaoka_tennis-01-forehand-yamaoka_poses_120_jpos,50.0,1240,1.0,1.0,50,severe,0.12983870967741937,0.1596774193548387,0.0,0.1596774193548387,0.6330645161290323,0.3435483870967742,18,torque_limited,0.06,3,25,6,0.24,1.0590944041901342
HUMAN4D_Subject3_4_Carine_INF_Dancing_S3S4_01_poses_120_jpos,50.0,1012,1.0,1.0,50,severe,0.10177865612648221,0.11857707509881422,0.010869565217391304,0.12944664031620554,0.616600790513834,0.36561264822134387,17,torque_limited,0.06,3,21,5,0.23809523809523808,0.9739920161165425
HUMAN4D_Subject3_Medhi_RGB_TalkingWalking_S3_01_poses_120_jpos,50.0,1224,1.0,1.0,50,severe,0.11356209150326797,0.16666666666666666,0.0,0.16666666666666666,0.8954248366013072,0.10457516339869281,21,torque_limited,0.06,1,25,2,0.08,1.0212898046381331
HUMAN4D_Subject4_Carine_RGB_BasketBall_S4_01_poses_120_jpos,50.0,863,1.0,1.0,50,severe,0.2688296639629201,0.2688296639629201,0.0,0.2688296639629201,0.8899188876013905,0.1100811123986095,12,torque_limited,0.06,1,18,1,0.05555555555555555,1.1622659538773388
KIT_183_walking_run02_poses_100_jpos,50.0,210,1.0,1.0,50,severe,0.19523809523809524,0.17142857142857143,0.0,0.17142857142857143,0.7857142857142857,0.0,5,torque_limited,0.06,0,5,0,0.0,1.4380881899132303
KIT_183_walking_run07_poses_100_jpos,50.0,191,1.0,1.0,50,severe,0.24607329842931938,0.23036649214659685,0.0,0.23036649214659685,0.9581151832460733,0.0,5,torque_limited,0.06,0,4,0,0.0,1.5178401494210307
KIT_200_Kniebeuge01_poses_100_jpos,50.0,374,1.0,1.0,50,severe,0.3502673796791444,0.3502673796791444,0.0,0.3502673796791444,0.7593582887700535,0.13903743315508021,2,torque_limited,0.06,1,8,1,0.125,1.1386782073715813
KIT_200_Kniebeuge04_poses_100_jpos,50.0,218,1.0,1.0,50,severe,0.3211009174311927,0.3211009174311927,0.0,0.3211009174311927,0.7798165137614679,0.0,1,torque_limited,0.06,0,5,0,0.0,1.1217249922874046
KIT_200_Kniebeuge06_poses_100_jpos,50.0,220,1.0,1.0,50,severe,0.29545454545454547,0.29545454545454547,0.0,0.29545454545454547,0.75,0.0,1,torque_limited,0.06,0,5,0,0.0,1.137822138801055
KIT_314_go_over_beam01_poses_100_jpos,50.0,543,1.0,1.0,50,severe,0.3683241252302026,0.3683241252302026,0.0,0.3683241252302026,0.5524861878453039,0.44751381215469616,1,torque_limited,0.06,2,11,4,0.36363636363636365,1.045810054408214
KIT_317_go_over_beam06_poses_100_jpos,50.0,292,1.0,1.0,50,severe,0.4554794520547945,0.4623287671232877,0.0,0.4623287671232877,0.8047945205479452,0.0,1,torque_limited,0.06,0,6,0,0.0,1.0773928698851387
KIT_317_go_over_beam08_poses_100_jpos,50.0,309,1.0,1.0,50,severe,0.44660194174757284,0.4563106796116505,0.0,0.4563106796116505,0.7799352750809061,0.0,1,torque_limited,0.06,0,7,0,0.0,1.0803585360044625
KIT_359_go_over_beam02_poses_100_jpos,50.0,428,1.0,1.0,50,severe,0.45093457943925236,0.45093457943925236,0.0,0.45093457943925236,0.6845794392523364,0.2383177570093458,1,torque_limited,0.06,1,9,2,0.2222222222222222,1.0611581409226536
KIT_359_go_over_beam03_poses_100_jpos,50.0,475,1.0,1.0,50,severe,0.40421052631578946,0.40421052631578946,0.0,0.40421052631578946,0.6147368421052631,0.38526315789473686,1,torque_limited,0.06,2,10,3,0.3,1.037860846253325
KIT_359_walking_fast01_poses_100_jpos,50.0,188,1.0,1.0,50,severe,0.10106382978723404,0.11170212765957446,0.0,0.11170212765957446,0.9680851063829787,0.0,4,torque_limited,0.06,0,4,0,0.0,1.0090449666918522
KIT_3_go_over_beam01_poses_100_jpos,50.0,518,1.0,1.0,50,severe,0.3436293436293436,0.3436293436293436,0.0,0.3436293436293436,0.5366795366795367,0.46332046332046334,1,torque_limited,0.06,2,11,5,0.45454545454545453,1.0189509030079444
KIT_3_kick_high_right03_poses_100_jpos,50.0,227,1.0,1.0,50,severe,0.1762114537444934,0.1762114537444934,0.0,0.1762114537444934,0.6167400881057269,0.3788546255506608,1,torque_limited,0.06,1,5,2,0.4,1.0104360781189576
KIT_3_seesaw_backwards07_poses_100_jpos,50.0,674,1.0,1.0,50,severe,0.2433234421364985,0.2433234421364985,0.0,0.2433234421364985,0.41097922848664686,0.5890207715133531,3,torque_limited,0.06,2,14,8,0.5714285714285714,1.0212745176993738
KIT_3_squat05_poses_100_jpos,50.0,275,1.0,1.0,50,severe,0.2581818181818182,0.2581818181818182,0.0,0.2581818181818182,0.6218181818181818,0.3090909090909091,1,torque_limited,0.06,1,6,2,0.3333333333333333,1.056113451132051
KIT_424_seesaw01_poses_100_jpos,50.0,437,1.0,1.0,50,severe,0.18764302059496568,0.18764302059496568,0.0,0.18764302059496568,0.41647597254004576,0.5835240274599542,1,torque_limited,0.06,2,9,4,0.4444444444444444,0.9991543173145189
KIT_424_seesaw04_poses_100_jpos,50.0,409,1.0,1.0,50,severe,0.2273838630806846,0.2273838630806846,0.0,0.2273838630806846,0.5134474327628362,0.48655256723716384,3,torque_limited,0.06,2,9,3,0.3333333333333333,1.0220235776985844
KIT_424_seesaw09_poses_100_jpos,50.0,300,1.0,1.0,50,severe,0.11333333333333333,0.11333333333333333,0.0,0.11333333333333333,0.44666666666666666,0.5533333333333333,1,torque_limited,0.06,2,6,2,0.3333333333333333,0.9647739920446237
KIT_424_seesaw_backwards03_poses_100_jpos,50.0,438,1.0,1.0,50,severe,0.1735159817351598,0.1735159817351598,0.0,0.1735159817351598,0.4680365296803653,0.5319634703196348,2,torque_limited,0.06,2,9,4,0.4444444444444444,1.0187674597428316
KIT_424_step_stones03_poses_100_jpos,50.0,592,1.0,1.0,50,severe,0.2939189189189189,0.2939189189189189,0.0,0.2939189189189189,0.5574324324324325,0.44256756756756754,2,torque_limited,0.06,2,12,5,0.4166666666666667,1.0250503915729459
KIT_513_seesaw_down09_poses_100_jpos,50.0,313,1.0,1.0,50,severe,0.09584664536741214,0.10543130990415335,0.0,0.10543130990415335,0.43130990415335463,0.5686900958466453,2,torque_limited,0.06,2,7,3,0.42857142857142855,0.981788354883838
KIT_513_seesaw_up03_poses_100_jpos,50.0,452,1.0,1.0,50,severe,0.2323008849557522,0.2323008849557522,0.0,0.2323008849557522,0.45353982300884954,0.5464601769911505,1,torque_limited,0.06,2,10,5,0.5,1.012239936892567
KIT_513_seesaw_up08_poses_100_jpos,50.0,512,1.0,1.0,50,severe,0.263671875,0.263671875,0.0,0.263671875,0.466796875,0.533203125,2,torque_limited,0.06,2,11,6,0.5454545454545454,1.0216108303520806
KIT_513_seesaw_up10_poses_100_jpos,50.0,458,1.0,1.0,50,severe,0.17467248908296942,0.1812227074235808,0.0,0.1812227074235808,0.39956331877729256,0.6004366812227074,1,torque_limited,0.06,2,10,5,0.5,1.026808389530277
KIT_572_squat05_poses_100_jpos,50.0,247,1.0,1.0,50,severe,0.22672064777327935,0.22672064777327935,0.0,0.22672064777327935,0.631578947368421,0.22267206477732793,1,torque_limited,0.06,1,5,1,0.2,1.0647964323473913
SSM_synced_20161014_50033_ATUSquat_sync_poses_120_jpos,50.0,107,1.0,1.0,50,severe,0.2616822429906542,0.2616822429906542,0.0,0.2616822429906542,1.0,0.0,1,torque_limited,0.06,0,3,0,0.0,1.554895688973821
Transitions_mocap_mazen_c3d_airkick_jumpingtwist360_poses_120_jpos,50.0,355,1.0,1.0,50,severe,0.323943661971831,0.29014084507042254,0.0,0.29014084507042254,0.6563380281690141,0.29295774647887324,5,torque_limited,0.06,1,8,2,0.25,1.35066218714821
Transitions_mocap_mazen_c3d_airkick_turntwist180_poses_120_jpos,50.0,400,1.0,1.0,50,severe,0.0975,0.105,0.0,0.105,0.355,0.645,1,torque_limited,0.06,2,8,4,0.5,0.8942247696699815
Transitions_mocap_mazen_c3d_devishdance_longjump_poses_120_jpos,50.0,511,1.0,1.0,50,severe,0.3816046966731898,0.33659491193737767,0.0,0.33659491193737767,0.6477495107632094,0.3522504892367906,12,torque_limited,0.06,1,11,4,0.36363636363636365,1.3941688148574682
Transitions_mocap_mazen_c3d_punchkarate_kick_poses_120_jpos,50.0,428,1.0,1.0,50,severe,0.2967289719626168,0.3247663551401869,0.0,0.3247663551401869,0.75,0.25,7,torque_limited,0.06,1,9,2,0.2222222222222222,1.1218625747362392
Transitions_mocap_mazen_c3d_twistdance_walk_poses_120_jpos,50.0,410,1.0,1.0,50,severe,0.16585365853658537,0.1024390243902439,0.0,0.1024390243902439,0.6780487804878049,0.3170731707317073,9,torque_limited,0.06,1,9,3,0.3333333333333333,0.8435027068662867
