clip,fps,frames,guard_s,guard_mode,min_seg_s,bin_frames,severity,source_screen_sha256,source_motion_sha256,reducer_sha256,airborne_frac,infeasible_frac,torque_infeasible_frac,severe_frac,severe_frac_guarded,feasible_frac_kept,n_severe_windows,screen_schema,screen_gap_m,n_feasible_segments,n_bins,n_bins_eligible,bin_eligible_frac,unsupported_ratio_p95
KIT_1717_displace_from_left_to_right_21_poses_100_jpos,50.0,228,0.0,symmetric,0.0,50,severe,1548c35b793f26ecbb7e2a5e84e561b093068ed098e392a00b28fd90389dc6f6,560ac66ac5921de43c083ce6bfff4a17d7a9ed38ec6efd73dc5b487216d52713,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.011511064885829746
KIT_1229_take_of_t-shirt_with_help_05_poses_100_jpos,50.0,356,0.0,symmetric,0.0,50,severe,c312fa3060b973eec24e7cfec8bff3b751f146b37a3764a996fbbed562ebae1f,f77f3d9cc35e6bc00e264c30bb369d2cb464876c052d4b651feb029fed3cb48a,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,8,8,1.0,0.0
KIT_1717_displace_from_left_to_right_33_poses_100_jpos,50.0,212,0.0,symmetric,0.0,50,severe,19433eda9dff632e52dc756037001c4c39d0f71a5c286f0e04c8139f2e323eee,338cc34cb6f57cb5c7619611942ba56df6df3abc12771062a3d110d3fca1e130,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.017228379981846117
KIT_3_bow_slight03_poses_100_jpos,50.0,273,0.0,symmetric,0.0,50,severe,f8ccba9d65c33733f907bfbb1161a64303e46fae49d150691991206a6bcd7737,793e70135d95be2b4dab3084d6ce1d4b2e35a596a860eadb8d29291bd3414316,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.0319191281296315
KIT_1717_displace_tilt_middle_11_poses_100_jpos,50.0,453,0.0,symmetric,0.0,50,severe,9cb9a9be1a0b624a31e44f999ec546a76c203b70150bfbad4eb61806705fcd63,b3e435bdd103fea84ac065689fe753fa7cc56dec54dbddc2128086a53b9c5505,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_572_wipe_circular_right05_poses_100_jpos,50.0,263,0.0,symmetric,0.0,50,severe,9ebeaebe06d19a8a1a5aa8161010ff48b1e6522b2cbc744a081a758121a8374d,7b66b29b268ac311b465837e8b6fdbfbbc46baf84c0725f6666635bedff2baa6,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.0
KIT_3_bow_slight02_poses_100_jpos,50.0,225,0.0,symmetric,0.0,50,severe,3697a187078023c98cf12a69328ab97a43c3ede4ff5e72033006cacac35cadcd,d585ffcde38a53bcabafefef70441b32cbead9b5f64d37f83b406321b490622f,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.007337730604512991
KIT_1747_displace_tilt_side_05_poses_100_jpos,50.0,480,0.0,symmetric,0.0,50,severe,ba96a16ce0fbd9d982fbaccd398d1464f73cc9a294f5a155351cdb51c2d62941,929d127d888b736a0d4c4ac8faad77fc93a908c10275d8c9a34c72ab8e5a3337,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0363982011861363
KIT_1717_displace_tilt_side_08_poses_100_jpos,50.0,464,0.0,symmetric,0.0,50,severe,6d2bffce6bca9e18d438e9e3a41f6c0117e8e39832dc8a70cb1fd4ffea6f26fd,5fe29aff13a8e40517eb1a11bde3365552e72fab57b98079e2d2c9353fefdbfa,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
CMU_114_114_01_poses_120_jpos,50.0,134,0.0,symmetric,0.0,50,severe,e4fb2ed1f5c2cede5493b7da5c3d08490ee84cf4d3727f328cb44a3b31645d55,ffda6893ae1326cdcb5094269d7252353e8bea442421e28e243227f96d669e14,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,3,3,1.0,0.0
KIT_572_wave_both07_poses_100_jpos,50.0,455,0.0,symmetric,0.0,50,severe,3afbbb4a8dae86d77cae98d9e780b76504e45fb1bdca6c993d52553a30a07118,313523fa68d46a155c0015b33b6fc0fa73739617249f6a9ba27df263cd24a4f8,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.031491093844368254
CMU_105_105_06_poses_120_jpos,50.0,57,0.0,symmetric,0.0,50,severe,0941c342d3ede30260936536d7603684273a0abdd1d63733440809907fb478ad,1c623ba732324330026a13b341d216a17d7d6452730816e0363000fdf108011e,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,2,2,1.0,0.006787400809174515
KIT_1717_displace_from_left_to_right_39_poses_100_jpos,50.0,205,0.0,symmetric,0.0,50,severe,609ed848faa022278ab9ce5767259796c430bd08874a392750f0a414bf7cd470,722bd931a3f1e688defdaa59b8aa513bc7f080adb442a4de2d317ac2898780bd,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,5,5,1.0,0.014247426923762714
KIT_1226_Trial_75_poses_100_jpos,50.0,537,0.0,symmetric,0.0,50,severe,122af5c98cb9f86ad5cecaf098ba4f173dd0888367e3b318e575ab47c995fa76,797f79e9d91505d87a9e46f526df03e16078b4e0a4981293c8ab3778498f1437,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.0
KIT_572_wave_left04_poses_100_jpos,50.0,291,0.0,symmetric,0.0,50,severe,de1081c88f0d133e66804e128fb4490cb91110a5764dc610fef3b087a1ac6b57,517729e8dc703633f37d33686165acfda5edd4d2e2a5b5551a81adc8267fce55,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.030573877518804127
KIT_1226_Trial_44_poses_100_jpos,50.0,324,0.0,symmetric,0.0,50,severe,9ca4bbeed5f09393899c80544ada22ca4a919f18ed5ba1ca24b466d2dd1ff43b,4c3e94b946f0ffdd5334be24ace01f7b0e1ae6e2fcb4da8a19a720f27fd57a94,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,7,7,1.0,0.007291869788234774
KIT_969_Trial_18_poses_100_jpos,50.0,916,0.0,symmetric,0.0,50,severe,3a272a532d9c4497c307c81e248f4b8f5bce00ea788c42c70103bbd22e64013a,5ce1e0b1a4837ab2e38144f66d3b354d7f1e83dd80789f377655f1700875724d,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,19,19,1.0,0.02843370609248784
KIT_1226_Trial_06_poses_100_jpos,50.0,399,0.0,symmetric,0.0,50,severe,07555282fd0ce000e1ce73aed1104e07f27f7916279bf13812c1e292751fa4de,f489f8a45da7dbc711ae0cdf063f76327b2e15094f8cbf71f02e2dd290df8fc1,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,8,8,1.0,0.0
KIT_969_Trial_76_poses_100_jpos,50.0,654,0.0,symmetric,0.0,50,severe,5bb1fa0b67a714574ba44de2f24f38acb9c1d5e78ad5bea4b4b334ead660c23f,9d5bb58d209a94d7d0c39e9f27db213b6305cdf54f45efe941d5d14586ea041c,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,14,14,1.0,0.011006595906769487
KIT_572_wave_left15_poses_100_jpos,50.0,453,0.0,symmetric,0.0,50,severe,e75eb7181749f415bcbe3e45d606f73218814fc9f45f31997d55e66de8dc7f00,6702d551da4165b3a41d967a0c9fc5ab93d134a3eb3fd0d2a9055fed04433b6b,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.03546569792181279
KIT_969_Trial_79_poses_100_jpos,50.0,772,0.0,symmetric,0.0,50,severe,6422cc9de7bfe130a24d946d9039af247d2e9ef8fed5edcf818e1cdb4fdd5b18,8c2600a07d3d544b12af797bcbdc1d710ef9c70bf45999f463bd613335a31707,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,16,16,1.0,0.030879616293992166
KIT_572_stir_right15_poses_100_jpos,50.0,495,0.0,symmetric,0.0,50,severe,9e4a0c11579c72a2a397da96e3bf540a7fb7889925c6c8b331a313dee0d48110,fb9d457e304032de6728d750ad43a28961e012e22252cc61aa4bfbbfd049a9a8,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.02883116650023228
KIT_572_stir_right14_poses_100_jpos,50.0,474,0.0,symmetric,0.0,50,severe,bdbed33ac2581faa6279954971f86e8b34dec9b5d15f85fd3fad706d7fc7b3c1,c63e906855b0283eb03fcf201d3072d7abecf1e3fb6175bf244e48ad606f37dc,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.031491093844368254
KIT_969_Trial_33_poses_100_jpos,50.0,602,0.0,symmetric,0.0,50,severe,2fb94eabcc2c45ab989628b3c390c561ffec4b82d0573a1eca3a339b6f1f276f,6247df66c1863e90bff9f56fcea4d09cf05bf1df96aa5eed8e703c9967926a7e,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,13,13,1.0,0.03546569792181279
KIT_572_wave_both13_poses_100_jpos,50.0,562,0.0,symmetric,0.0,50,severe,528ba2c53ab3674ea159f82acf59dc37e1fd6d990c12d16b28b64fc8b9ee130f,fdab17460228bb768ab81bd2f84bb40fd4cd02097248de94f7c013c1a7b3de73,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,12,12,1.0,0.03668865302256495
KIT_969_Trial_60_poses_100_jpos,50.0,510,0.0,symmetric,0.0,50,severe,a5a9810b2e6c0ea928e5d7d161a15bf099054ace130407f03e2a46fe23bd3acd,c563f9fdc582579d32bb4c19d45be8d79fb7bde7eb1664323778352414513a3b,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.014232139985003308
KIT_1747_displace_tilt_side_21_poses_100_jpos,50.0,461,0.0,symmetric,0.0,50,severe,003476a53e11f7518fdd5a347e5d72720276556fb947137de0c7f4963430ca0f,f1c557e30e116a73ba777c9e77f8e6bb926428a1d20bd0e633829c6379f1deb3,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.0
KIT_969_Trial_62_poses_100_jpos,50.0,528,0.0,symmetric,0.0,50,severe,5397aa7bc2dd58cf133eb6ee5268a8df0a483f56ea270ebb7f5b103f45d0c52b,5d570ba8b3c954c46d8658d589c4dbe54bf96a563ef01856d79d0b33478c1508,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.01426271386252212
KIT_1717_displace_tilt_side_26_poses_100_jpos,50.0,547,0.0,symmetric,0.0,50,severe,a1ef1a7989d84dc0070473effdc5472b38f6ea0783f4979adc780da4df677fda,48e6d6f88968a67801015988b5a5c274ebc5230bee3603456f465865b5d50c51,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.00785748652233264
KIT_1226_Trial_24_poses_100_jpos,50.0,385,0.0,symmetric,0.0,50,severe,4ebcd4f522a3203003a874d0937824d05dcef4fd13c8d79f646b61a8520d6e37,a35278c015d7c014852ed5cbc47265e0fc592399b2dafa3c5c09f12bd1cebb81,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,8,8,1.0,0.0
KIT_969_Trial_41_poses_100_jpos,50.0,622,0.0,symmetric,0.0,50,severe,a50f0053e73548db52910a21f1d66a7f7c0dde46884096f49096d0e1fd92bda0,e75fa8e43d6b5fd5277f016589afc681d77d14458e5daaa830af85e08362eb59,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,13,13,1.0,0.03392171710711316
KIT_969_Trial_24_poses_100_jpos,50.0,825,0.0,symmetric,0.0,50,severe,c94e82b53bf81591cc00d79837690685951933ab22883263fbd7e3f79740d820,2745edb118d9e20a479348823e7fe78300717ee56f84293752b9bf0ea2f502d1,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,17,17,1.0,0.013635949373386613
KIT_1747_displace_tilt_side_04_poses_100_jpos,50.0,474,0.0,symmetric,0.0,50,severe,19d8b0a88ef8a4534eeb64380ca38d4bfad28d4445cd58d4bb06c0223d32de93,64559a3a88d2a669d12cd1817de5cf598a52770b7cb7d4d709069288fc98764e,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.040586822406212426
KIT_1226_Trial_19_poses_100_jpos,50.0,438,0.0,symmetric,0.0,50,severe,db4e078980a1c5684744484983f373d4776d70af8de29413ace512962ef3f3e7,0bc9c81091d86cab78151e658b4b78be1b28de0b708b9be969be7fd648c43103,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,9,9,1.0,0.0
KIT_1717_displace_tilt_side_42_poses_100_jpos,50.0,501,0.0,symmetric,0.0,50,severe,625994d99baae40f778b6d895b327223a748c3ea7d34a26b3f8b7197ef7a4905,400da4404b620fccafe9e016a903b2179df62fd17cd70b52f2e77b39f8328c7c,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,11,11,1.0,0.0
KIT_1226_Trial_78_poses_100_jpos,50.0,897,0.0,symmetric,0.0,50,severe,29aff46f7919e84330e7a2a4e250f58a68372a20a88065ef707d58f920174427,566eb860a8dbf9de8fd528d582cb601223c657b698ee250b9e04a33005791969,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,18,18,1.0,0.0
KIT_1226_Trial_03_poses_100_jpos,50.0,5579,0.0,symmetric,0.0,50,severe,8f4d3b364fa45588514fa975561c525878ae9d959fae3752519acbf31e0b5b4c,5f570bf7cc175892b65974d6f6ce7e59f1c04a37b701cf792d1cb5baa8c88d83,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,112,112,1.0,0.0
KIT_572_guitar_left13_poses_100_jpos,50.0,375,0.0,symmetric,0.0,50,severe,a557af8762427c0ed033ed2deddf7293b33be62a9a8902b1348aa313f4d2ed80,113911436e60ed6eb2244b73c26b72a13cf383f720dbf7304af1843ddcfeb7aa,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,8,8,1.0,0.018436048143838892
KIT_572_stir_left09_poses_100_jpos,50.0,307,0.0,symmetric,0.0,50,severe,56175a5c9e00816668ff4003de659a5f31b653a32c384cf53802e047a9e008a1,6b74cfa5834aeb8c2f0a8948fcfba4f0c71441bd46debf2d2f1b8ae5a690a782,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,7,7,1.0,0.03476249873888029
KIT_572_guitar_left10_poses_100_jpos,50.0,285,0.0,symmetric,0.0,50,severe,2348c1c3f9f62137256d825798e608260b407597984757d7cfcde8436859a138,b00d7f8728b6ab5015b6e6a5de966c6b09cfb099ddd6d9f5fc8e496d0fb22f29,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,6,6,1.0,0.02042335018256116
KIT_572_guitar_left17_poses_100_jpos,50.0,350,0.0,symmetric,0.0,50,severe,6697ab330d41a596bbb193aad6c0fc05f9a75f65c8b2cd62557fc73229780bb3,6d7b0a26a92cc6756c15bfcc41b2f74df5a69d069399bdc34f3a4543e6ff96fe,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,7,7,1.0,0.01790100528725982
KIT_1747_displace_tilt_side_02_poses_100_jpos,50.0,468,0.0,symmetric,0.0,50,severe,2ffc4b68f4cf33d2268a41f7ea85352c49f7b831450b143687fb7882e04a9ed8,36424d6f68c08644c2c419c48277a7b54af419442d72e14f6bfa25aef8d05c69,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,10,10,1.0,0.04158047342557361
KIT_1229_take_of_t-shirt_left_arm_05_poses_100_jpos,50.0,169,0.0,symmetric,0.0,50,severe,5e8d80ad0d71f4cdf39c44beb6080d9a2a5fa9189a8263de4dd7be92bec8c221,a48b44e4979c018d5fe016b4ed748d6486d3c483a6dc095cbe414ce86c2f050b,993c448af3185f955bea7f7718c1849837b7d9957366bbf3d8fcd618f208915b,0.0,0.0,0.0,0.0,0.0,1.0,0,torque_limited,0.06,1,4,4,1.0,0.0
