clip,frames,fps,infeasible_frac,severe_frac,n_bins,n_elig_g0,elig_frac_g0,soft_frac_g0,n_elig_g1,elig_frac_g1,soft_frac_g1
BMLhandball_S06_Novice_Trial_upper_left_right_123_poses_120_jpos,543,50.0,0.06445672191528545,0.06445672191528545,11,9,0.818182,0.936364,7,0.636364,0.754545
BMLhandball_S06_Novice_Trial_upper_right_217_poses_120_jpos,411,50.0,0.0267639902676399,0.0267639902676399,9,8,0.888889,0.975556,6,0.666667,0.753333
BMLhandball_S07_Expert_Trial_upper_left_082_poses_120_jpos,441,50.0,0.022675736961451247,0.022675736961451247,9,8,0.888889,0.971111,6,0.666667,0.748889
BMLhandball_S07_Expert_Trial_upper_left_right_037_poses_120_jpos,666,50.0,0.012012012012012012,0.012012012012012012,14,13,0.928571,0.944286,11,0.785714,0.801429
BMLhandball_S07_Expert_Trial_upper_right_210_poses_120_jpos,582,50.0,0.19072164948453607,0.19072164948453607,12,8,0.666667,0.698333,6,0.5,0.531667
BMLhandball_S08_Novice_Trial_upper_left_056_poses_120_jpos,668,50.0,0.0,0.0,14,14,1.0,1.0,14,1.0,1.0
BMLhandball_S08_Novice_Trial_upper_left_082_poses_120_jpos,648,50.0,0.015432098765432098,0.015432098765432098,13,12,0.923077,0.984615,10,0.769231,0.830769
BMLhandball_S08_Novice_Trial_upper_right_086_poses_120_jpos,679,50.0,0.013254786450662739,0.013254786450662739,14,13,0.928571,0.987143,11,0.785714,0.844286
BMLhandball_S08_Novice_Trial_upper_right_left_090_poses_120_jpos,664,50.0,0.05120481927710843,0.05120481927710843,14,12,0.857143,0.938571,9,0.642857,0.678571
BMLhandball_S09_Novice_Trial_upper_left_188_poses_120_jpos,440,50.0,0.011363636363636364,0.011363636363636364,9,8,0.888889,0.988889,6,0.666667,0.766667
BMLhandball_S09_Novice_Trial_upper_left_209_poses_120_jpos,415,50.0,0.012048192771084338,0.012048192771084338,9,8,0.888889,0.984444,5,0.555556,0.628889
BMLhandball_S09_Novice_Trial_upper_left_219_poses_120_jpos,420,50.0,0.01904761904761905,0.01904761904761905,9,8,0.888889,0.982222,5,0.555556,0.613333
BMLhandball_S09_Novice_Trial_upper_left_right_087_poses_120_jpos,523,50.0,0.08221797323135756,0.08221797323135756,11,6,0.545455,0.870909,1,0.090909,0.230909
BMLhandball_S09_Novice_Trial_upper_right_left_118_poses_120_jpos,464,50.0,0.07543103448275862,0.07543103448275862,10,5,0.5,0.746,3,0.3,0.392
BMLhandball_S09_Novice_Trial_upper_right_left_176_poses_120_jpos,588,50.0,0.013605442176870748,0.013605442176870748,12,11,0.916667,0.986667,9,0.75,0.78
BMLhandball_S09_Novice_Trial_upper_right_left_181_poses_120_jpos,456,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLhandball_S09_Novice_Trial_upper_right_left_234_poses_120_jpos,492,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLmovi_Subject_11_F_MoSh_Subject_11_F_11_poses_120_jpos,230,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_13_F_MoSh_Subject_13_F_9_poses_120_jpos,380,50.0,0.0,0.0,8,8,1.0,1.0,8,1.0,1.0
BMLmovi_Subject_15_F_MoSh_Subject_15_F_14_poses_120_jpos,400,50.0,0.0775,0.0775,8,2,0.25,0.365,1,0.125,0.24
BMLmovi_Subject_15_F_MoSh_Subject_15_F_16_poses_120_jpos,452,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_10_poses_120_jpos,115,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_17_F_MoSh_Subject_17_F_14_poses_120_jpos,342,50.0,0.34502923976608185,0.34502923976608185,7,3,0.428571,0.602857,1,0.142857,0.182857
BMLmovi_Subject_17_F_MoSh_Subject_17_F_20_poses_120_jpos,170,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_17_poses_120_jpos,174,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_1_poses_120_jpos,277,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_18_F_MoSh_Subject_18_F_3_poses_120_jpos,157,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_1_F_MoSh_Subject_1_F_13_poses_120_jpos,285,50.0,0.10877192982456141,0.10877192982456141,6,1,0.166667,0.556667,0,0.0,0.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_17_poses_120_jpos,97,50.0,0.0,0.0,2,2,1.0,1.0,2,1.0,1.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_7_poses_120_jpos,145,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_20_F_MoSh_Subject_20_F_8_poses_120_jpos,192,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_22_F_MoSh_Subject_22_F_10_poses_120_jpos,127,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_22_F_MoSh_Subject_22_F_12_poses_120_jpos,169,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_22_F_MoSh_Subject_22_F_1_poses_120_jpos,487,50.0,0.03490759753593429,0.03490759753593429,10,4,0.4,0.778,0,0.0,0.0
BMLmovi_Subject_22_F_MoSh_Subject_22_F_2_poses_120_jpos,150,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_24_F_MoSh_Subject_24_F_12_poses_120_jpos,245,50.0,0.08163265306122448,0.08163265306122448,5,4,0.8,0.864,2,0.4,0.44
BMLmovi_Subject_24_F_MoSh_Subject_24_F_2_poses_120_jpos,144,50.0,0.034722222222222224,0.034722222222222224,3,2,0.666667,0.966667,0,0.0,0.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_17_poses_120_jpos,494,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_19_poses_120_jpos,209,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_27_F_MoSh_Subject_27_F_5_poses_120_jpos,529,50.0,0.20793950850661624,0.20793950850661624,11,7,0.636364,0.798182,3,0.272727,0.327273
BMLmovi_Subject_29_F_MoSh_Subject_29_F_21_poses_120_jpos,272,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_30_F_MoSh_Subject_30_F_5_poses_120_jpos,189,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_31_F_MoSh_Subject_31_F_21_poses_120_jpos,289,50.0,0.006920415224913495,0.006920415224913495,6,5,0.833333,0.896667,4,0.666667,0.73
BMLmovi_Subject_31_F_MoSh_Subject_31_F_4_poses_120_jpos,177,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_31_F_MoSh_Subject_31_F_8_poses_120_jpos,277,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_19_poses_120_jpos,285,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_32_F_MoSh_Subject_32_F_9_poses_120_jpos,177,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_34_F_MoSh_Subject_34_F_20_poses_120_jpos,284,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_11_poses_120_jpos,249,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_12_poses_120_jpos,492,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLmovi_Subject_36_F_MoSh_Subject_36_F_21_poses_120_jpos,217,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_39_F_MoSh_Subject_39_F_14_poses_120_jpos,160,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_39_F_MoSh_Subject_39_F_17_poses_120_jpos,207,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_39_F_MoSh_Subject_39_F_18_poses_120_jpos,294,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_39_F_MoSh_Subject_39_F_20_poses_120_jpos,209,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_39_F_MoSh_Subject_39_F_6_poses_120_jpos,229,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_3_F_MoSh_Subject_3_F_18_poses_120_jpos,224,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_3_F_MoSh_Subject_3_F_6_poses_120_jpos,137,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_3_F_MoSh_Subject_3_F_7_poses_120_jpos,224,50.0,0.16071428571428573,0.16071428571428573,5,1,0.2,0.68,0,0.0,0.0
BMLmovi_Subject_41_F_MoSh_Subject_41_F_16_poses_120_jpos,185,50.0,0.15675675675675677,0.15675675675675677,4,2,0.5,0.7,0,0.0,0.0
BMLmovi_Subject_41_F_MoSh_Subject_41_F_17_poses_120_jpos,129,50.0,0.3875968992248062,0.3875968992248062,3,0,0.0,0.0,0,0.0,0.0
BMLmovi_Subject_41_F_MoSh_Subject_41_F_2_poses_120_jpos,409,50.0,0.0,0.0,9,9,1.0,1.0,9,1.0,1.0
BMLmovi_Subject_41_F_MoSh_Subject_41_F_5_poses_120_jpos,182,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_11_poses_120_jpos,232,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_48_F_MoSh_Subject_48_F_16_poses_120_jpos,522,50.0,0.19923371647509577,0.19923371647509577,11,7,0.636364,0.809091,3,0.272727,0.358182
BMLmovi_Subject_48_F_MoSh_Subject_48_F_18_poses_120_jpos,515,50.0,0.0,0.0,11,11,1.0,1.0,11,1.0,1.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_5_poses_120_jpos,285,50.0,0.21052631578947367,0.21052631578947367,6,2,0.333333,0.596667,0,0.0,0.0
BMLmovi_Subject_51_F_MoSh_Subject_51_F_9_poses_120_jpos,197,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_53_F_MoSh_Subject_53_F_20_poses_120_jpos,435,50.0,0.15632183908045977,0.15632183908045977,9,3,0.333333,0.533333,1,0.111111,0.162222
BMLmovi_Subject_53_F_MoSh_Subject_53_F_3_poses_120_jpos,259,50.0,0.019305019305019305,0.019305019305019305,6,5,0.833333,0.983333,2,0.333333,0.416667
BMLmovi_Subject_55_F_MoSh_Subject_55_F_10_poses_120_jpos,182,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_13_poses_120_jpos,207,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_21_poses_120_jpos,414,50.0,0.0,0.0,9,9,1.0,1.0,9,1.0,1.0
BMLmovi_Subject_55_F_MoSh_Subject_55_F_3_poses_120_jpos,182,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_14_poses_120_jpos,577,50.0,0.0,0.0,12,12,1.0,1.0,12,1.0,1.0
BMLmovi_Subject_57_F_MoSh_Subject_57_F_6_poses_120_jpos,300,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
BMLmovi_Subject_58_F_MoSh_Subject_58_F_3_poses_120_jpos,475,50.0,0.0,0.0,10,10,1.0,1.0,10,1.0,1.0
BMLmovi_Subject_5_F_MoSh_Subject_5_F_10_poses_120_jpos,149,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_5_F_MoSh_Subject_5_F_9_poses_120_jpos,119,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_62_F_MoSh_Subject_62_F_3_poses_120_jpos,240,50.0,0.1,0.1,5,1,0.2,0.296,0,0.0,0.0
BMLmovi_Subject_62_F_MoSh_Subject_62_F_7_poses_120_jpos,197,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_62_F_MoSh_Subject_62_F_8_poses_120_jpos,197,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_13_poses_120_jpos,194,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_14_poses_120_jpos,197,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_64_F_MoSh_Subject_64_F_19_poses_120_jpos,200,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_67_F_MoSh_Subject_67_F_17_poses_120_jpos,215,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_67_F_MoSh_Subject_67_F_21_poses_120_jpos,562,50.0,0.0,0.0,12,12,1.0,1.0,12,1.0,1.0
BMLmovi_Subject_69_F_MoSh_Subject_69_F_18_poses_120_jpos,405,50.0,0.0,0.0,9,9,1.0,1.0,9,1.0,1.0
BMLmovi_Subject_69_F_MoSh_Subject_69_F_1_poses_120_jpos,722,50.0,0.018005540166204988,0.018005540166204988,15,14,0.933333,0.982667,12,0.8,0.804
BMLmovi_Subject_6_F_MoSh_Subject_6_F_2_poses_120_jpos,119,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_70_F_MoSh_Subject_70_F_19_poses_120_jpos,127,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
BMLmovi_Subject_71_F_MoSh_Subject_71_F_13_poses_120_jpos,179,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_72_F_MoSh_Subject_72_F_15_poses_120_jpos,204,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_72_F_MoSh_Subject_72_F_17_poses_120_jpos,172,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_72_F_MoSh_Subject_72_F_5_poses_120_jpos,319,50.0,0.02821316614420063,0.02821316614420063,7,6,0.857143,0.974286,4,0.571429,0.688571
BMLmovi_Subject_72_F_MoSh_Subject_72_F_6_poses_120_jpos,237,50.0,0.1350210970464135,0.1350210970464135,5,4,0.8,0.872,2,0.4,0.404
BMLmovi_Subject_74_F_MoSh_Subject_74_F_11_poses_120_jpos,229,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_74_F_MoSh_Subject_74_F_20_poses_120_jpos,412,50.0,0.07766990291262135,0.07766990291262135,9,6,0.666667,0.813333,3,0.333333,0.353333
BMLmovi_Subject_74_F_MoSh_Subject_74_F_5_poses_120_jpos,299,50.0,0.4180602006688963,0.4180602006688963,6,1,0.166667,0.45,0,0.0,0.0
BMLmovi_Subject_76_F_MoSh_Subject_76_F_10_poses_120_jpos,444,50.0,0.0,0.0,9,9,1.0,1.0,9,1.0,1.0
BMLmovi_Subject_79_F_MoSh_Subject_79_F_10_poses_120_jpos,199,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_79_F_MoSh_Subject_79_F_15_poses_120_jpos,214,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
BMLmovi_Subject_81_F_MoSh_Subject_81_F_15_poses_120_jpos,194,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_83_F_MoSh_Subject_83_F_19_poses_120_jpos,269,50.0,0.007434944237918215,0.007434944237918215,6,5,0.833333,0.993333,2,0.333333,0.433333
BMLmovi_Subject_83_F_MoSh_Subject_83_F_21_poses_120_jpos,190,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_85_F_MoSh_Subject_85_F_4_poses_120_jpos,347,50.0,0.0,0.0,7,7,1.0,1.0,7,1.0,1.0
BMLmovi_Subject_85_F_MoSh_Subject_85_F_7_poses_120_jpos,182,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_88_F_MoSh_Subject_88_F_17_poses_120_jpos,174,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
BMLmovi_Subject_8_F_MoSh_Subject_8_F_15_poses_120_jpos,197,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
CMU_02_02_08_poses_120_jpos,625,50.0,0.1168,0.1168,13,8,0.615385,0.887692,4,0.307692,0.42
CMU_06_06_01_poses_120_jpos,206,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
CMU_06_06_14_poses_120_jpos,200,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
CMU_07_07_01_poses_120_jpos,132,50.0,0.15151515151515152,0.15151515151515152,3,1,0.333333,0.566667,0,0.0,0.0
CMU_102_102_20_poses_120_jpos,253,50.0,0.30434782608695654,0.30434782608695654,6,1,0.166667,0.29,0,0.0,0.0
CMU_105_105_06_poses_120_jpos,57,50.0,0.0,0.0,2,2,1.0,1.0,2,1.0,1.0
CMU_105_105_11_poses_120_jpos,776,50.0,0.002577319587628866,0.002577319587628866,16,15,0.9375,0.9975,13,0.8125,0.8725
CMU_105_105_21_poses_120_jpos,1613,50.0,0.0,0.0,33,33,1.0,1.0,33,1.0,1.0
CMU_105_105_35_poses_120_jpos,1272,50.0,0.0,0.0,26,26,1.0,1.0,26,1.0,1.0
CMU_106_106_11_poses_60_jpos,571,50.0,0.01926444833625219,0.01926444833625219,12,11,0.916667,0.981667,9,0.75,0.815
CMU_107_107_01_poses_60_jpos,442,50.0,0.0,0.0,9,9,1.0,1.0,9,1.0,1.0
CMU_108_108_11_poses_120_jpos,102,50.0,0.09803921568627451,0.09803921568627451,3,0,0.0,0.5,0,0.0,0.0
CMU_108_108_13_poses_120_jpos,65,50.0,0.12307692307692308,0.12307692307692308,2,0,0.0,0.826666,0,0.0,0.0
CMU_108_108_20_poses_120_jpos,116,50.0,0.05172413793103448,0.05172413793103448,3,0,0.0,0.904167,0,0.0,0.0
CMU_111_111_37_poses_120_jpos,135,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
CMU_114_114_01_poses_120_jpos,134,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
CMU_114_114_04_poses_120_jpos,373,50.0,0.2359249329758713,0.2359249329758713,8,6,0.75,0.78,5,0.625,0.655
CMU_114_114_06_poses_120_jpos,426,50.0,0.4154929577464789,0.4154929577464789,9,5,0.555556,0.606667,4,0.444444,0.495556
CMU_114_114_09_poses_120_jpos,949,50.0,0.41938883034773444,0.41938883034773444,19,9,0.473684,0.581053,5,0.263158,0.333684
CMU_114_114_13_poses_120_jpos,1305,50.0,0.0,0.0,27,27,1.0,1.0,27,1.0,1.0
CMU_115_115_06_poses_60_jpos,297,50.0,0.2053872053872054,0.2053872053872054,6,4,0.666667,0.796667,2,0.333333,0.443333
CMU_118_118_10_poses_120_jpos,218,50.0,0.009174311926605505,0.009174311926605505,5,4,0.8,0.992,2,0.4,0.416
CMU_118_118_19_poses_120_jpos,255,50.0,0.03137254901960784,0.03137254901960784,6,4,0.666667,0.963333,1,0.166667,0.326667
CMU_120_120_07_poses_120_jpos,464,50.0,0.17672413793103448,0.17672413793103448,10,4,0.4,0.706,1,0.1,0.136
CMU_120_120_21_poses_120_jpos,1297,50.0,0.2413261372397841,0.2413261372397841,26,15,0.576923,0.753404,9,0.346154,0.426154
CMU_122_122_01_poses_120_jpos,264,50.0,0.21212121212121213,0.21212121212121213,6,4,0.666667,0.803333,2,0.333333,0.343333
CMU_122_122_09_poses_120_jpos,188,50.0,0.3723404255319149,0.3723404255319149,4,2,0.5,0.65,1,0.25,0.4
CMU_122_122_34_poses_120_jpos,403,50.0,0.4317617866004963,0.4317617866004963,9,4,0.444444,0.508889,3,0.333333,0.397778
CMU_122_122_44_poses_120_jpos,275,50.0,0.0,0.0,6,6,1.0,1.0,6,1.0,1.0
CMU_122_122_48_poses_120_jpos,185,50.0,0.005405405405405406,0.005405405405405406,4,2,0.5,0.685,1,0.25,0.435
CMU_122_122_55_poses_120_jpos,307,50.0,0.029315960912052116,0.029315960912052116,7,5,0.714286,0.965714,2,0.285714,0.425714
CMU_123_123_10_poses_120_jpos,333,50.0,0.0,0.0,7,7,1.0,1.0,7,1.0,1.0
CMU_127_127_16_poses_120_jpos,108,50.0,0.2222222222222222,0.2222222222222222,3,0,0.0,0.0,0,0.0,0.0
CMU_12_12_02_poses_120_jpos,280,50.0,0.017857142857142856,0.017857142857142856,6,4,0.666667,0.916667,3,0.5,0.526667
CMU_131_131_12_poses_120_jpos,320,50.0,0.165625,0.165625,7,2,0.285714,0.414286,1,0.142857,0.271429
CMU_132_132_10_poses_120_jpos,677,50.0,0.0,0.0,14,14,1.0,1.0,14,1.0,1.0
CMU_132_132_19_poses_120_jpos,113,50.0,0.0,0.0,3,3,1.0,1.0,3,1.0,1.0
CMU_132_132_22_poses_120_jpos,155,50.0,0.01935483870967742,0.01935483870967742,4,3,0.75,0.85,2,0.5,0.51
CMU_132_132_43_poses_120_jpos,335,50.0,0.0,0.0,7,7,1.0,1.0,7,1.0,1.0
CMU_132_132_46_poses_120_jpos,510,50.0,0.0,0.0,11,11,1.0,1.0,11,1.0,1.0
CMU_132_132_47_poses_120_jpos,629,50.0,0.0,0.0,13,13,1.0,1.0,13,1.0,1.0
CMU_132_132_53_poses_120_jpos,2709,50.0,0.2517534145441122,0.2517534145441122,55,20,0.363636,0.511273,5,0.090909,0.161455
CMU_133_133_04_poses_120_jpos,326,50.0,0.08588957055214724,0.08588957055214724,7,5,0.714286,0.822857,3,0.428571,0.537143
CMU_133_133_23_poses_120_jpos,353,50.0,0.0,0.0,8,8,1.0,1.0,8,1.0,1.0
CMU_133_133_25_poses_120_jpos,171,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
CMU_135_135_02_poses_120_jpos,2168,50.0,0.2878228782287823,0.29289667896678967,44,11,0.25,0.518182,5,0.113636,0.123182
CMU_136_136_02_poses_120_jpos,358,50.0,0.08379888268156424,0.08379888268156424,8,6,0.75,0.925,4,0.5,0.5475
CMU_136_136_06_poses_120_jpos,393,50.0,0.17557251908396945,0.17557251908396945,8,3,0.375,0.385,2,0.25,0.26
CMU_136_136_27_poses_120_jpos,453,50.0,0.2163355408388521,0.2163355408388521,10,4,0.4,0.532,2,0.2,0.236
CMU_137_137_08_poses_120_jpos,808,50.0,0.1150990099009901,0.1150990099009901,17,9,0.529412,0.72,5,0.294118,0.336471
CMU_137_137_13_poses_120_jpos,1235,50.0,0.05020242914979757,0.05020242914979757,25,18,0.72,0.9504,11,0.44,0.58
CMU_138_138_23_poses_120_jpos,191,50.0,0.0,0.0,4,4,1.0,1.0,4,1.0,1.0
CMU_138_138_25_poses_120_jpos,149,50.0,0.12080536912751678,0.12080536912751678,3,1,0.333333,0.5,0,0.0,0.0
CMU_139_139_15_poses_60_jpos,898,50.0,0.2594654788418708,0.2594654788418708,18,3,0.166667,0.573611,0,0.0,0.0
CMU_13_13_07_poses_120_jpos,605,50.0,0.0,0.0,13,13,1.0,1.0,13,1.0,1.0
CMU_13_13_08_poses_120_jpos,668,50.0,0.0,0.0,14,14,1.0,1.0,14,1.0,1.0
CMU_13_13_32_poses_120_jpos,140,50.0,0.2357142857142857,0.2357142857142857,3,1,0.333333,0.373333,0,0.0,0.0
CMU_141_141_18_poses_60_jpos,323,50.0,0.02786377708978328,0.02786377708978328,7,5,0.714286,0.848571,4,0.571429,0.705714
CMU_141_141_21_poses_60_jpos,226,50.0,0.0,0.0,5,5,1.0,1.0,5,1.0,1.0
CMU_143_143_01_poses_60_jpos,83,50.0,0.08433734939759036,0.08433734939759036,2,0,0.0,0.914546,0,0.0,0.0
CMU_143_143_09_poses_60_jpos,454,50.0,0.10572687224669604,0.10572687224669604,10,6,0.6,0.808,3,0.3,0.316
CMU_143_143_10_poses_60_jpos,479,50.0,0.029227557411273485,0.029227557411273485,10,9,0.9,0.972,7,0.7,0.772
CMU_143_143_20_poses_60_jpos,542,50.0,0.03136531365313653,0.03136531365313653,11,10,0.909091,0.969091,8,0.727273,0.787273
CMU_143_143_27_poses_60_jpos,586,50.0,0.0,0.0,12,12,1.0,1.0,12,1.0,1.0
CMU_143_143_38_poses_60_jpos,1097,50.0,0.010027347310847767,0.010027347310847767,22,20,0.909091,0.99,18,0.818182,0.899091
CMU_144_144_05_poses_120_jpos,1161,50.0,0.32127476313522824,0.32127476313522824,24,4,0.166667,0.343333,1,0.041667,0.075833
