clip,frames,fps,gap,airborne_frac,infeasible_frac,unsupported_impulse_Ns,unsupported_impulse_per_weight_s,torque_infeasible_frac,max_tau_ratio_p95,sim_infeasible_frac
ACCAD_Female1General_c3d_A6_-_lift_box_poses_120_jpos,419,50.0,0.06,0.29594272076372313,0.29594272076372313,870.3160000000001,2.660893478665553,0.0,0.7,0.29594272076372313
ACCAD_Female1General_c3d_A7_-_crouch_poses_120_jpos,253,50.0,0.06,0.44664031620553357,0.44664031620553357,759.756,2.322868688817655,0.0,0.5839999999999997,0.44664031620553357
ACCAD_Female1General_c3d_A8_-_crouch_to_lie_poses_120_jpos,322,50.0,0.06,0.34782608695652173,0.34782608695652173,741.4979999999999,2.2670469032438225,0.0,4.4595,0.34782608695652173
ACCAD_Female1General_c3d_A9_-_lie_t2_poses_120_jpos,394,50.0,0.06,0.0,0.0,0.0,0.0,0.0,5.2235,0.0
ACCAD_Female1Gestures_c3d_D1_-_Urban_1_poses_120_jpos,768,50.0,0.06,0.0,0.0,135.81,0.4152238305828788,0.0,0.5364999999999998,0.0
ACCAD_Female1Gestures_c3d_D2_-_Wait_1_poses_120_jpos,1927,50.0,0.06,0.048261546445251685,0.04878048780487805,984.2620000000001,3.0092705834413187,0.010897768552153606,0.75,0.04878048780487805
ACCAD_Female1Gestures_c3d_D3_-_Conversation_Gestures_poses_120_jpos,2536,50.0,0.06,0.0,0.0003943217665615142,164.596,0.5032337944085084,0.0,0.35,0.0003943217665615142
ACCAD_Female1Gestures_c3d_Female1_Subj_Calibration_poses_120_jpos,150,50.0,0.06,0.0,0.0,1.104,0.0033753560780759757,0.0,0.33,0.0
ACCAD_Female1Running_c3d_C10_-__run_backwards_stop_run_forward_poses_120_jpos,254,50.0,0.06,0.16535433070866143,0.07874015748031496,400.052,1.223114084915263,0.003937007874015748,1.3435,0.07874015748031496
ACCAD_Female1Running_c3d_C11_-__run_turn_left_(90)_poses_120_jpos,116,50.0,0.06,0.3103448275862069,0.23275862068965517,344.27400000000006,1.052579110890877,0.0,1.1475,0.23275862068965517
ACCAD_Female1Running_c3d_C13_-__run_turn_left_(135)_poses_120_jpos,143,50.0,0.06,0.36363636363636365,0.32867132867132864,493.674,1.5093528410218109,0.0,1.0970000000000002,0.32867132867132864
ACCAD_Female1Running_c3d_C14_-__run_turn_right__(90)_poses_120_jpos,213,50.0,0.06,0.0892018779342723,0.07511737089201878,240.31,0.734720850654382,0.0,1.02,0.07511737089201878
ACCAD_Female1Running_c3d_C15_-__run_turn_right__(45)_poses_120_jpos,106,50.0,0.06,0.39622641509433965,0.3113207547169811,340.06,1.0396952789044533,0.0,1.3625,0.3113207547169811
ACCAD_Female1Running_c3d_C16_-__run_turn_right__(135)_poses_120_jpos,117,50.0,0.06,0.27350427350427353,0.21367521367521367,330.892,1.0116651479952132,0.0,1.32,0.21367521367521367
ACCAD_Female1Running_c3d_C19_-__run_to_hop_to_walk_poses_120_jpos,210,50.0,0.06,0.22857142857142856,0.18095238095238095,462.90599999999995,1.4152831346719543,0.0,1.3419999999999994,0.18095238095238095
ACCAD_Female1Running_c3d_C20_-__run_to_jump_to_walk_poses_120_jpos,200,50.0,0.06,0.395,0.285,629.56,1.9248090330738328,0.025,1.1204999999999998,0.285
ACCAD_Female1Running_c3d_C21_-__run_to_pick_up_box_poses_120_jpos,241,50.0,0.06,0.4854771784232365,0.48132780082987553,838.3380000000001,2.5631243331359217,0.0,0.93,0.48132780082987553
ACCAD_Female1Running_c3d_C21_s2_-__run_to_pick_up_box_poses_120_jpos,128,50.0,0.06,0.3359375,0.328125,384.49,1.1755350167205,0.0390625,1.2065,0.328125
ACCAD_Female1Running_c3d_C22_-__run_with_box_poses_120_jpos,99,50.0,0.06,0.23232323232323232,0.1111111111111111,188.17000000000002,0.5753086532713373,0.0,1.4109999999999998,0.1111111111111111
ACCAD_Female1Running_c3d_C24_-__side_step_left_poses_120_jpos,198,50.0,0.06,0.7424242424242424,0.6717171717171717,1073.272,3.281408667236194,0.0,0.66,0.6717171717171717
ACCAD_Female1Running_c3d_C25_-__side_step_right_poses_120_jpos,215,50.0,0.06,0.37209302325581395,0.3674418604651163,669.272,2.0462240154765077,0.0,0.7129999999999997,0.3674418604651163
ACCAD_Female1Running_c3d_C26_-__run_to_crouch_poses_120_jpos,150,50.0,0.06,0.52,0.4866666666666667,582.6500000000001,1.7813869736331223,0.0,1.0964999999999996,0.4866666666666667
ACCAD_Female1Running_c3d_C27_-_crouch_to_run1_poses_120_jpos,161,50.0,0.06,0.515527950310559,0.4409937888198758,643.724,1.9681138731914667,0.0,1.35,0.4409937888198758
ACCAD_Female1Running_c3d_C2_-_Run_to_stand_poses_120_jpos,266,50.0,0.06,0.10902255639097744,0.07894736842105263,261.062,0.7981677612814043,0.0037593984962406013,0.9175,0.07894736842105263
ACCAD_Female1Running_c3d_C3_-_Run_poses_120_jpos,85,50.0,0.06,0.3764705882352941,0.2823529411764706,273.256,0.8354495475278342,0.0,1.676,0.3176470588235294
ACCAD_Female1Running_c3d_C4_-_Run_to_walk1_poses_120_jpos,177,50.0,0.06,0.1807909604519774,0.14689265536723164,315.85799999999995,0.9657003805334435,0.0,0.9259999999999992,0.14689265536723164
ACCAD_Female1Running_c3d_C5_-_walk_to_run_poses_120_jpos,271,50.0,0.06,0.17712177121771217,0.11439114391143912,398.4320000000001,1.2181611167572164,0.0,1.105,0.11439114391143912
ACCAD_Female1Running_c3d_C6_-_stand_to_run_backwards_poses_120_jpos,374,50.0,0.06,0.09090909090909091,0.053475935828877004,284.602,0.8701386689606692,0.0,0.9969999999999993,0.053475935828877004
ACCAD_Female1Running_c3d_C7_-__run_backwards_poses_120_jpos,155,50.0,0.06,0.0,0.03225806451612903,154.91600000000003,0.473638280970306,0.0,1.013,0.03225806451612903
ACCAD_Female1Running_c3d_C8_-__run_backwards_to_stand_poses_120_jpos,220,50.0,0.06,0.04090909090909091,0.004545454545454545,142.786,0.43655216753999665,0.0,1.0304999999999997,0.004545454545454545
ACCAD_Female1Running_c3d_C9_-__run_backwards_turn_run_forward_poses_120_jpos,115,50.0,0.06,0.19130434782608696,0.08695652173913043,207.22199999999998,0.6335580047201629,0.017391304347826087,1.359,0.08695652173913043
ACCAD_Female1Walking_c3d_B10_-_walk_turn_left_(45)_poses_120_jpos,396,50.0,0.06,0.0,0.0,68.49000000000001,0.20940048712628948,0.0,0.7925,0.0
ACCAD_Female1Walking_c3d_B11_-_walk_turn_left_(135)_poses_120_jpos,468,50.0,0.06,0.0,0.0,86.80599999999998,0.2653996011897311,0.0,0.78,0.0
ACCAD_Female1Walking_c3d_B12_-_walk_turn_right_(90)_poses_120_jpos,388,50.0,0.06,0.08247422680412371,0.08247422680412371,343.65,1.0506713009337039,0.0,0.96,0.08247422680412371
ACCAD_Female1Walking_c3d_B13_-_walk_turn_right_(45)_poses_120_jpos,415,50.0,0.06,0.163855421686747,0.163855421686747,574.158,1.755423636844154,0.0,0.9629999999999995,0.163855421686747
ACCAD_Female1Walking_c3d_B14_-_walk_turn_right_(135)_poses_120_jpos,448,50.0,0.06,0.13839285714285715,0.13839285714285715,634.278,1.9392337884872046,0.0,0.97,0.13839285714285715
ACCAD_Female1Walking_c3d_B15_-_walk_turn_around_(same_direction)_poses_120_jpos,530,50.0,0.06,0.0,0.0,84.46799999999999,0.2582514286258347,0.0,0.7254999999999995,0.0
ACCAD_Female1Walking_c3d_B16_-_walk_turn_change_direction_poses_120_jpos,551,50.0,0.06,0.043557168784029036,0.043557168784029036,319.936,0.9781684077856118,0.0,0.855,0.043557168784029036
ACCAD_Female1Walking_c3d_B17_-_walk_to_hop_to_walk1_poses_120_jpos,314,50.0,0.06,0.44904458598726116,0.43312101910828027,1022.486,3.126136172869196,0.0,0.9434999999999996,0.43312101910828027
ACCAD_Female1Walking_c3d_B18_-_walk_to_leap_to_walk_poses_120_jpos,285,50.0,0.06,0.5964912280701754,0.5333333333333333,1220.9,3.732764706270796,0.0,1.0260000000000002,0.5333333333333333
ACCAD_Female1Walking_c3d_B19_-_walk_to_pick_up_box_poses_120_jpos,346,50.0,0.06,0.4884393063583815,0.4884393063583815,1200.446,3.670228897193834,0.0,0.81,0.4884393063583815
ACCAD_Female1Walking_c3d_B1_-_stand_to_walk_poses_120_jpos,311,50.0,0.06,0.0,0.0,34.384,0.10512522046065612,0.0,0.745,0.0
ACCAD_Female1Walking_c3d_B20_-_walk_with_box_poses_120_jpos,214,50.0,0.06,0.009345794392523364,0.02336448598130841,78.156,0.23895319713596555,0.0,0.73,0.02336448598130841
ACCAD_Female1Walking_c3d_B21_-_put_down_box_to_walk_poses_120_jpos,471,50.0,0.06,0.5562632696390658,0.5605095541401274,1861.206,5.690428428126335,0.0,0.94,0.5605095541401274
ACCAD_Female1Walking_c3d_B21_s2_-_put_down_box_to_walk_poses_120_jpos,574,50.0,0.06,0.3048780487804878,0.3083623693379791,1322.976,4.044850618431741,0.0,0.92,0.3083623693379791
ACCAD_Female1Walking_c3d_B21_s3_-_put_down_box_to_walk_poses_120_jpos,537,50.0,0.06,0.30726256983240224,0.30726256983240224,1270.708,3.8850470754164554,0.0,0.9619999999999999,0.30726256983240224
ACCAD_Female1Walking_c3d_B22_-_side_step_left_poses_120_jpos,460,50.0,0.06,0.3695652173913043,0.45652173913043476,1341.118,4.100317747026356,0.0,0.6804999999999995,0.45652173913043476
ACCAD_Female1Walking_c3d_B23_-_side_step_right_poses_120_jpos,416,50.0,0.06,0.5360576923076923,0.6177884615384616,1632.336,4.990684093353465,0.0,0.8025,0.6177884615384616
ACCAD_Female1Walking_c3d_B24_-_walk_to_crouch_poses_120_jpos,354,50.0,0.06,0.3700564971751412,0.3700564971751412,931.8219999999999,2.84894116973271,0.0,0.71,0.3700564971751412
ACCAD_Female1Walking_c3d_B25_-_crouch_to_walk1_poses_120_jpos,296,50.0,0.06,0.3547297297297297,0.36486486486486486,769.026,2.3512106732775866,0.0,0.94,0.36486486486486486
ACCAD_Female1Walking_c3d_B27_-skip_to_walk1_poses_120_jpos,337,50.0,0.06,0.3590504451038576,0.27002967359050445,827.366,2.5295786747222895,0.0,1.1219999999999999,0.27002967359050445
ACCAD_Female1Walking_c3d_B2_-_walk_to_stand_poses_120_jpos,284,50.0,0.06,0.01056338028169014,0.01056338028169014,52.31,0.1599319533008644,0.0,0.78,0.01056338028169014
ACCAD_Female1Walking_c3d_B2_-_walk_to_stand_t2_poses_120_jpos,245,50.0,0.06,0.0,0.0,16.346,0.04997606019223723,0.0,0.73,0.0
ACCAD_Female1Walking_c3d_B3_-_walk1_poses_120_jpos,381,50.0,0.06,0.3228346456692913,0.32545931758530183,926.1819999999999,2.8316975028121045,0.0,0.99,0.32545931758530183
ACCAD_Female1Walking_c3d_B4_-_stand_to_walk_back_poses_120_jpos,378,50.0,0.06,0.0,0.0,81.52799999999999,0.2492627086353063,0.0,0.6114999999999997,0.0
ACCAD_Female1Walking_c3d_B5_-_walk_backwards_poses_120_jpos,577,50.0,0.06,0.3847487001733102,0.3847487001733102,1568.02,4.794045142703524,0.0,0.715999999999998,0.3847487001733102
ACCAD_Female1Walking_c3d_B6_-_walk_backwards_to_stand_poses_120_jpos,409,50.0,0.06,0.0,0.0,88.70400000000001,0.27120252314280013,0.0,0.63,0.0
ACCAD_Female1Walking_c3d_B7_-_walk_backwards_turn_forwards_poses_120_jpos,433,50.0,0.06,0.08314087759815242,0.09237875288683603,417.78400000000005,1.2773276845316062,0.0,0.9339999999999998,0.09237875288683603
ACCAD_Female1Walking_c3d_B9_-_walk_turn_left_(90)_poses_120_jpos,355,50.0,0.06,0.005633802816901409,0.008450704225352112,78.968,0.24143579599049245,0.0,0.73,0.008450704225352112
ACCAD_Male1General_c3d_General_A11_-___Military_Crawl_Forward_poses_120_jpos,531,50.0,0.06,0.10734463276836158,0.2693032015065913,840.896,2.5709451310052316,0.060263653483992465,6.79,0.3032015065913371
ACCAD_Male1General_c3d_General_A12_-___Military_Crawl_Backwards_poses_120_jpos,823,50.0,0.06,0.0,0.013365735115431349,96.15799999999999,0.29399229144531674,0.06804374240583232,5.890999999999998,0.019441069258809233
ACCAD_Male1General_c3d_General_A1_-_Stand_poses_120_jpos,310,50.0,0.06,0.0,0.0,12.904,0.03945253155026485,0.0,0.32,0.0
ACCAD_Male1General_c3d_General_A2_-_Sway_poses_120_jpos,452,50.0,0.06,0.0,0.0,9.276,0.028360328786442707,0.0,0.46,0.0
ACCAD_Male1General_c3d_General_A2_-_Sway_t2_poses_120_jpos,468,50.0,0.06,0.0,0.0,2.934,0.008970375664017132,0.0,0.4,0.0
ACCAD_Male1General_c3d_General_A2_-_Sway_t3_poses_120_jpos,486,50.0,0.06,0.0,0.0,20.915999999999997,0.06394832221833073,0.0,0.4775,0.0
ACCAD_Male1General_c3d_General_A3_-_Swing_Arms_While_Stand_poses_120_jpos,287,50.0,0.06,0.0,0.0,4.002,0.012235665783025412,0.0,0.4569999999999999,0.0
ACCAD_Male1General_c3d_General_A4_-_Look_Around_poses_120_jpos,797,50.0,0.06,0.0,0.0,1.754,0.005362658116798244,0.0,0.43,0.0
ACCAD_Male1General_c3d_General_A5_-_Pick_Up_Box_poses_120_jpos,235,50.0,0.06,0.1276595744680851,0.1276595744680851,245.75,0.7513530400246115,0.0,0.72,0.1276595744680851
ACCAD_Male1General_c3d_General_A6_-_Lift_Box_poses_120_jpos,247,50.0,0.06,0.0,0.0,0.036000000000000004,0.00011006595906769487,0.0,0.48,0.0
ACCAD_Male1General_c3d_General_A7_-_Crouch_poses_120_jpos,299,50.0,0.06,0.48494983277591974,0.48494983277591974,981.45,3.000673209083031,0.0,0.5509999999999997,0.48494983277591974
ACCAD_Male1General_c3d_General_A8_-__Crourch_to_Lie_(forward)_poses_120_jpos,330,50.0,0.06,0.08787878787878788,0.08787878787878788,187.52800000000002,0.5733458103346301,0.0030303030303030303,5.09,0.08787878787878788
ACCAD_Male1General_c3d_General_A9_-__Lie_Down_poses_120_jpos,581,50.0,0.06,0.0,0.08089500860585198,994.602,3.040883972795762,0.0,1.25,0.08089500860585198
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_poses_120_jpos,118,50.0,0.06,0.0,0.0,0.0,0.0,0.0,5.3815,0.0
ACCAD_Male1General_c3d_General_A9_-___Lie_(forward)_t2_poses_120_jpos,414,50.0,0.06,0.0,0.0,0.0,0.0,0.0,5.52,0.0
ACCAD_Male1Running_c3d_Run_C24_-_quick_side_step_left_poses_120_jpos,148,50.0,0.06,0.3108108108108108,0.2905405405405405,365.49800000000005,1.117469108536787,0.0,0.6565000000000001,0.2905405405405405
ACCAD_Male1Running_c3d_Run_C25_-_quick_side_step_right_poses_120_jpos,166,50.0,0.06,0.27710843373493976,0.27710843373493976,358.526,1.0961530011306768,0.0,0.7025,0.27710843373493976
ACCAD_Male1Walking_c3d_Male1_Cal_poses_120_jpos,150,50.0,0.06,0.0,0.0,0.0,0.0,0.0,0.49,0.0
ACCAD_Male1Walking_c3d_Walk_B10_-_Walk_turn_left_45_poses_120_jpos,421,50.0,0.06,0.21140142517814728,0.21140142517814728,740.932,2.265316421776258,0.0,0.81,0.21140142517814728
ACCAD_Male1Walking_c3d_Walk_B13_-_Walk_turn_right_45_poses_120_jpos,465,50.0,0.06,0.2967741935483871,0.2967741935483871,1118.216,3.418819902356707,0.0,0.88,0.2967741935483871
ACCAD_Male1Walking_c3d_Walk_B15_-_Walk_turn_around_poses_120_jpos,570,50.0,0.06,0.04035087719298246,0.04035087719298246,433.32400000000007,1.324839490195828,0.0,0.78,0.04035087719298246
ACCAD_Male1Walking_c3d_Walk_B16_-_Walk_turn_change_poses_120_jpos,606,50.0,0.06,0.5115511551155115,0.5148514851485149,2177.0860000000002,6.65619607119032,0.0,0.89,0.5148514851485149
ACCAD_Male1Walking_c3d_Walk_B17_-_Walk_2_hop_2_walk_poses_120_jpos,408,50.0,0.06,0.43137254901960786,0.39705882352941174,1243.924,3.8031580018700906,0.0,0.8164999999999998,0.39705882352941174
ACCAD_Male1Walking_c3d_Walk_B21_-_Put_Down_Box_to_walk_poses_120_jpos,348,50.0,0.06,0.1810344827586207,0.1925287356321839,604.6120000000001,1.84853332343992,0.0,0.8464999999999997,0.1925287356321839
ACCAD_Male1Walking_c3d_Walk_B22_-_Side_step_left_poses_120_jpos,231,50.0,0.06,0.0,0.0,29.532,0.09029077508853235,0.0,0.58,0.0
ACCAD_Male1Walking_c3d_Walk_B23_-_Side_step_right_poses_120_jpos,179,50.0,0.06,0.0,0.0,21.524,0.065807213971474,0.0,0.5409999999999999,0.0
ACCAD_Male1Walking_c3d_Walk_B4_-_Stand_to_Walk_Back_poses_120_jpos,648,50.0,0.06,0.3333333333333333,0.3333333333333333,1566.144,4.788309483280997,0.0,0.71,0.3333333333333333
ACCAD_Male2General_c3d_A1-_Stand_poses_120_jpos,190,50.0,0.06,0.0,0.0,0.782,0.002390877221970483,0.0,0.22,0.0
ACCAD_Male2General_c3d_A10-_Lie_to_crouch_poses_120_jpos,237,50.0,0.06,0.0,0.0,0.08800000000000001,0.0002690501221654763,0.0,3.5639999999999996,0.0
ACCAD_Male2General_c3d_A2-_Sway_poses_120_jpos,533,50.0,0.06,0.0,0.0,13.064,0.03994171359056571,0.0,0.3,0.0
ACCAD_Male2General_c3d_A3-_Swing_arms_poses_120_jpos,533,50.0,0.06,0.0,0.0,76.532,0.23398799942691176,0.0,0.53,0.0
ACCAD_Male2General_c3d_A4-_Look_Around_poses_120_jpos,803,50.0,0.06,0.0,0.0,6.316,0.01931046104087669,0.0,0.27,0.0
ACCAD_Male2General_c3d_A5-_Pick_up_box_poses_120_jpos,299,50.0,0.06,0.45819397993311034,0.45819397993311034,914.672,2.796506969787961,0.0,0.5209999999999997,0.45819397993311034
ACCAD_Male2General_c3d_A6-_Box_lift_poses_120_jpos,555,50.0,0.06,0.0,0.0,4.364000000000001,0.01334244014920612,0.0,0.24,0.0
ACCAD_Male2General_c3d_A7-_Crouch_poses_120_jpos,221,50.0,0.06,0.18552036199095023,0.18552036199095023,264.544,0.8088135854334518,0.0,2.57,0.18552036199095023
ACCAD_Male2General_c3d_A8-_Crouch_to_Lie_poses_120_jpos,287,50.0,0.06,0.0,0.0,8.948,0.02735750560382593,0.0,3.71,0.0
ACCAD_Male2General_c3d_A9-_Lie_poses_120_jpos,156,50.0,0.06,0.0,0.0,0.0,0.0,0.0,3.7225,0.0
ACCAD_Male2General_c3d_male2_Calibration_poses_120_jpos,150,50.0,0.06,0.0,0.0,0.0,0.0,0.0,0.29,0.0
ACCAD_Male2MartialArtsExtended_c3d_0018_XinJiang002_poses_120_jpos,673,50.0,0.06,0.2065378900445765,0.2065378900445765,1739.242,5.317537188355993,0.0,0.49,0.2065378900445765
ACCAD_Male2MartialArtsExtended_c3d_Extended_1_poses_120_jpos,1003,50.0,0.06,0.06879361914257229,0.13359920239282153,999.156,3.0548073166178256,0.06081754735792622,1.11,0.13359920239282153
ACCAD_Male2MartialArtsExtended_c3d_Extended_2_poses_120_jpos,887,50.0,0.06,0.44419391206313413,0.5298759864712514,3395.8279999999995,10.382362934692559,0.011273957158962795,0.96,0.5310033821871477
ACCAD_Male2MartialArtsExtended_c3d_Form_1_poses_120_jpos,926,50.0,0.06,0.08099352051835854,0.09935205183585313,1144.6480000000001,3.4996327754144105,0.0,0.74,0.09935205183585313
ACCAD_Male2MartialArtsKicks_c3d_G13-__cresent_right_poses_120_jpos,130,50.0,0.06,0.19230769230769232,0.17692307692307693,177.40200000000002,0.542386701959089,0.0,0.8729999999999998,0.17692307692307693
ACCAD_Male2MartialArtsKicks_c3d_G17-__push_kick_left_poses_120_jpos,228,50.0,0.06,0.08771929824561403,0.06140350877192982,158.72400000000002,0.4852808135294666,0.0,0.77,0.06140350877192982
ACCAD_Male2MartialArtsKicks_c3d_G18-__push_kick_right_poses_120_jpos,145,50.0,0.06,0.1103448275862069,0.08275862068965517,112.59199999999998,0.34423740175971945,0.0,1.0139999999999978,0.08275862068965517
ACCAD_Male2MartialArtsKicks_c3d_G3_-_front_kick_poses_120_jpos,115,50.0,0.06,0.1565217391304348,0.1565217391304348,124.98800000000001,0.382136780332029,0.0,0.5259999999999999,0.1565217391304348
ACCAD_Male2MartialArtsKicks_c3d_G5_-__back_kick_poses_120_jpos,114,50.0,0.06,0.017543859649122806,0.03508771929824561,79.608,0.24339252415169588,0.0,0.82,0.03508771929824561
ACCAD_Male2MartialArtsKicks_c3d_G6_-__axe_kick_poses_120_jpos,145,50.0,0.06,0.1724137931034483,0.14482758620689656,177.82399999999998,0.5436769195903824,0.0,0.6859999999999996,0.14482758620689656
ACCAD_Male2MartialArtsKicks_c3d_male2_Subject_Cal_2_poses_120_jpos,109,50.0,0.06,0.0,0.0,0.448,0.0013697097128424248,0.0,0.26,0.0
ACCAD_Male2MartialArtsPunches_c3d_E10_-_body_hook_right_poses_120_jpos,125,50.0,0.06,0.0,0.0,54.21199999999999,0.16574710480494093,0.0,0.38599999999999995,0.0
ACCAD_Male2MartialArtsPunches_c3d_E11_-_backfist_left_poses_120_jpos,117,50.0,0.06,0.0,0.0,31.946,0.09767130912157165,0.0,0.5619999999999999,0.0
ACCAD_Male2MartialArtsPunches_c3d_E11_-_body_hook_right_t2_poses_120_jpos,123,50.0,0.06,0.016260162601626018,0.04065040650406504,89.35600000000001,0.2731959399570262,0.024390243902439025,0.6789999999999999,0.04065040650406504
ACCAD_Male2MartialArtsPunches_c3d_E12_-_backfist_right_poses_120_jpos,122,50.0,0.06,0.0,0.0,22.806,0.06972678506938468,0.0,0.46949999999999986,0.0
ACCAD_Male2MartialArtsPunches_c3d_E13_-_body_cross_left_poses_120_jpos,95,50.0,0.06,0.0,0.0,3.0,0.009172163255641238,0.0,0.37299999999999994,0.0
ACCAD_Male2MartialArtsPunches_c3d_E14_-_body_cross_left_t2_poses_120_jpos,109,50.0,0.06,0.0,0.09174311926605505,72.78399999999999,0.22252891013286394,0.01834862385321101,0.9779999999999998,0.09174311926605505
ACCAD_Male2MartialArtsPunches_c3d_E14_-_body_cross_right_poses_120_jpos,123,50.0,0.06,0.0,0.08130081300813008,75.11200000000001,0.22964650881924156,0.024390243902439025,0.8589999999999999,0.08130081300813008
ACCAD_Male2MartialArtsPunches_c3d_E15_-_body_jab_right_poses_120_jpos,86,50.0,0.06,0.0,0.0,24.478,0.07483873739052874,0.0,0.55,0.0
ACCAD_Male2MartialArtsPunches_c3d_E16_-_body_jab_left_poses_120_jpos,127,50.0,0.06,0.0,0.0,34.96400000000001,0.10689850535674678,0.0,0.5009999999999997,0.0
ACCAD_Male2MartialArtsPunches_c3d_E1_-__Jab_left_poses_120_jpos,166,50.0,0.06,0.0,0.0,27.46,0.08395586766663614,0.0,0.3675,0.0
ACCAD_Male2MartialArtsPunches_c3d_E2_-__Jab_right_poses_120_jpos,142,50.0,0.06,0.0,0.0,20.491999999999997,0.06265198981153342,0.0,0.41,0.0
ACCAD_Male2MartialArtsPunches_c3d_E3_-__cross_left_poses_120_jpos,163,50.0,0.06,0.0,0.1165644171779141,113.63200000000002,0.34741708502167507,0.018404907975460124,0.86,0.12269938650306748
ACCAD_Male2MartialArtsPunches_c3d_E4_-__cross_right_poses_120_jpos,123,50.0,0.06,0.0,0.032520325203252036,86.934,0.2657909468219718,0.032520325203252036,0.94,0.032520325203252036
ACCAD_Male2MartialArtsPunches_c3d_E5_-__hook_left_poses_120_jpos,136,50.0,0.06,0.029411764705882353,0.07352941176470588,94.054,0.2875595476153603,0.0,0.805,0.07352941176470588
ACCAD_Male2MartialArtsPunches_c3d_E6_-__hook_right_poses_120_jpos,129,50.0,0.06,0.05426356589147287,0.05426356589147287,66.83600000000001,0.20434356778467927,0.007751937984496124,0.6059999999999999,0.05426356589147287
ACCAD_Male2MartialArtsPunches_c3d_E7_-_uppercut_left_poses_120_jpos,130,50.0,0.06,0.0,0.038461538461538464,71.75399999999999,0.21937980074842714,0.023076923076923078,0.8755,0.038461538461538464
ACCAD_Male2MartialArtsPunches_c3d_E8_-_uppercut_right_poses_120_jpos,128,50.0,0.06,0.0,0.015625,96.15,0.29396783234330165,0.0546875,1.0524999999999995,0.015625
ACCAD_Male2MartialArtsPunches_c3d_E9_-_body_hook_left_poses_120_jpos,138,50.0,0.06,0.0,0.07246376811594203,89.386,0.27328766158958256,0.014492753623188406,0.87,0.07246376811594203
ACCAD_Male2MartialArtsStances_c3d_D10_-_victory_2_poses_120_jpos,532,50.0,0.06,0.15977443609022557,0.10150375939849623,593.516,1.814608548945055,0.0,0.6644999999999999,0.10150375939849623
ACCAD_Male2MartialArtsStances_c3d_D11_-_ready_to_taunt_one_to_ready_poses_120_jpos,269,50.0,0.06,0.15613382899628253,0.15613382899628253,353.8279999999999,1.0817893934723426,0.0,0.5399999999999997,0.15613382899628253
ACCAD_Male2MartialArtsStances_c3d_D12_-_ready_to_taunt_two_to_ready_poses_120_jpos,269,50.0,0.06,0.0,0.0,4.772,0.01458985435197333,0.0,0.42,0.0
ACCAD_Male2MartialArtsStances_c3d_D13_-crouch_to_ready_poses_120_jpos,188,50.0,0.06,0.031914893617021274,0.03723404255319149,82.07799999999999,0.2509442718988405,0.0,0.44,0.03723404255319149
